enabled,subsystem,target,name,danger,param1_type,param1_description,param2_type,param2_description,param3_type,param3_description,param4_type,param4_description,param5_type,param5_description,param6_type,param6_description,description,note
TRUE,CDH,OBC,NOP,,,,,,,,,,,,,,ダミーコマンド,
TRUE,CDH,OBC,TMGR_SET_TIME,,uint32_t,TI,,,,,,,,,,,OBC時刻設定コマンド,
TRUE,CDH,OBC,AM_REGISTER_APP,,uint32_t,app_id,uint32_t,init_ptr,uint32_t,entry_ptr,,,,,,,アプリ登録コマンド,
TRUE,CDH,OBC,AM_INITIALIZE_APP,,uint32_t,app_id,,,,,,,,,,,アプリ初期化コマンド,
TRUE,CDH,OBC,AM_EXECUTE_APP,,uint32_t,app_id,,,,,,,,,,,アプリ実行コマンド,
TRUE,CDH,OBC,AM_SET_PAGE_FOR_TLM,,uint8_t,,,,,,,,,,,,テレメトリ生成用ページ番号設定,
TRUE,CDH,OBC,AM_CLEAR_APP_INFO,danger,,,,,,,,,,,,,アプリ実行時間計測の初期化,
TRUE,CDH,OBC,MM_SET_MODE_LIST,,uint8_t,Start=0; Initial=1; Bdot=2; SunPoint=3; R3ax-MTQ=4; R3ax-RW=5; F3ax=6,uint16_t,bc_index,,,,,,,,,モード定義リスト設定コマンド,
TRUE,CDH,OBC,MM_SET_TRANSITION_TABLE,,uint8_t,From: Start=0; Initial=1; Bdot=2; SunPoint=3; R3ax-MTQ=4; R3ax-RW=5; F3ax=6,uint8_t,To: Start=0; Initial=1; Bdot=2; SunPoint=3; R3ax-MTQ=4; R3ax-RW=5; F3ax=6,uint16_t,bc_index,,,,,,,モード遷移定義テーブル書き換えコマンド,
TRUE,CDH,OBC,MM_START_TRANSITION,,uint8_t,Start=0; Initial=1; Bdot=2; SunPoint=3; R3ax-MTQ=4; R3ax-RW=5; F3ax=6,,,,,,,,,,,モード遷移開始コマンド,
TRUE,CDH,OBC,MM_FINISH_TRANSITION,,,,,,,,,,,,,,モード遷移終了通知コマンド,
TRUE,CDH,OBC,TDSP_SET_TASK_LIST,danger,uint8_t,bc_index,,,,,,,,,,,タスクリスト設定コマンド,
TRUE,CDH,OBC,TLCD_CLEAR_ALL_TIMELINE,danger,uint8_t,ID: GS=0; BC=1; TLM=2,,,,,,,,,,,全TLC登録解除,
TRUE,CDH,OBC,TLCD_CLEAR_TIMELINE_AT,,uint8_t,ID: GS=0; BC=1; TLM=2,uint32_t,TI,,,,,,,,,TI指定TLC登録解除,
TRUE,CDH,OBC,TLCD_DEPLOY_BLOCK,,uint8_t,ID: GS=0; BC=1; TLM=2,uint16_t,bc_index,,,,,,,,,BLC展開,
TRUE,CDH,OBC,TLCD_CLEAR_ERR_LOG,,uint8_t,,,,,,,,,,,,最新のコマンド実行異常記録をクリア,
TRUE,CDH,OBC,TLCD_SET_SOE_FLAG,,uint8_t,ID: GS=0; BC=1; TLM=2,uint8_t,,,,,,,,,,異常時実行停止機能設定(ライン番号@@ フラグ),
TRUE,CDH,OBC,TLCD_SET_LOUT_FLAG,,uint8_t,ID: GS=0; BC=1; TLM=2,uint8_t,,,,,,,,,,実行停止機能設定(ライン番号@@ フラグ),
TRUE,CDH,OBC,TLCD_SET_ID_FOR_TLM,,uint8_t,ID: GS=0; BC=1; TLM=2,,,,,,,,,,,テレメで降ろすTL_IDの設定とTLテレメの更新,
TRUE,CDH,OBC,TLCD_SET_PAGE_FOR_TLM,,uint8_t,page_no,,,,,,,,,,,テレメトリ生成用ページ番号設定,
TRUE,CDH,OBC,GENERATE_TLM,,uint8_t,category,uint8_t,TLM_ID,uint8_t,送出回数,,,,,,,TLMパケット生成 (deprecated),
TRUE,CDH,OBC,TG_GENERATE_TLM,,uint8_t,tlm id,uint8_t,dest flags,uint8_t,dest info,uint8_t,送出回数,,,,,自身の OBC のテレメを生成,
TRUE,CDH,OBC,TG_GENERATE_HP_TLM,,uint8_t,tlm id,,,,,,,,,,,High Priority テレメを生成 (事実上，現在使われていない）,
TRUE,CDH,OBC,TG_GENERATE_RT_TLM,,uint8_t,tlm id,,,,,,,,,,,Real Time テレメを生成,
TRUE,CDH,OBC,TG_GENERATE_ST_TLM,,uint8_t,tlm id,uint8_t,dr partition (dest info),,,,,,,,,ST テレメを生成,
TRUE,CDH,OBC,BCT_CLEAR_BLOCK,,uint16_t,bc_index,,,,,,,,,,,BLC登録解除コマンド,
TRUE,CDH,OBC,BCT_SET_BLOCK_POSITION,,uint16_t,bc_index,uint8_t,cmd_index,,,,,,,,,BLC操作ポインタ設定コマンド,
TRUE,CDH,OBC,BCT_COPY_BCT,,uint16_t,dst_bc_index,uint16_t,src_bc_index,,,,,,,,,BCT の内容を別の場所にコピー,
TRUE,CDH,OBC,BCT_OVERWRITE_CMD,danger,uint16_t,CMD_CODE,uint32_t,TI,uint16_t,pos.block,uint8_t,pos.cmd,raw,cmd_param (big endian),,,BCTの内容を上書き,
TRUE,CDH,OBC,BCT_FILL_NOP,,uint8_t,,,,,,,,,,,,テレメ運用時の10個BCをNOP埋めする．（NOP個数）,
TRUE,CDH,OBC,BCE_ACTIVATE_BLOCK,,,,,,,,,,,,,,BLC有効化コマンド,
TRUE,CDH,OBC,BCE_ACTIVATE_BLOCK_BY_ID,,uint16_t,bc_index,,,,,,,,,,,BCを（無条件に）有効化,
TRUE,CDH,OBC,BCE_INACTIVATE_BLOCK_BY_ID,,uint16_t,bc_index,,,,,,,,,,,BCを（無条件に）無効化,
TRUE,CDH,OBC,BCE_ROTATE_BLOCK,,uint16_t,bc_index,,,,,,,,,,,BLC回転コマンド,
TRUE,CDH,OBC,BCE_COMBINE_BLOCK,,uint16_t,bc_index,,,,,,,,,,,BLC融合コマンド,
TRUE,CDH,OBC,BCE_TIMELIMIT_COMBINE_BLOCK,,uint16_t,bc_index,uint8_t,limit_step,,,,,,,,,時間制限付きBLC融合コマンド,
TRUE,CDH,OBC,BCE_RESET_ROTATOR_INFO,danger,,,,,,,,,,,,,カウンタ類リセット,
TRUE,CDH,OBC,BCE_RESET_COMBINER_INFO,danger,,,,,,,,,,,,,カウンタ類リセット,
TRUE,CDH,OBC,BCE_SET_ROTATE_INTERVAL,,uint16_t,,uint16_t,,,,,,,,,,BC回転時の回転間隔周期を設定する,
TRUE,CDH,OBC,EL_INIT,,,,,,,,,,,,,,EL初期化,
TRUE,CDH,OBC,EL_CLEAR_LOG_ALL,,,,,,,,,,,,,,全ログ削除,
TRUE,CDH,OBC,EL_CLEAR_LOG_BY_ERR_LEVEL,,uint8_t,Level: High=0; Low=1; EL=2; EH=3,,,,,,,,,,,エラーレベル指定ログ削除,
TRUE,CDH,OBC,EL_CLEAR_STATISTICS,,,,,,,,,,,,,,統計情報削除,
TRUE,CDH,OBC,EL_CLEAR_TLOG,,uint8_t,Level: High=0; Low=1; EL=2; EH=3,,,,,,,,,,,TLog削除,
TRUE,CDH,OBC,EL_CLEAR_CLOG,,uint8_t,Level: High=0; Low=1; EL=2; EH=3,,,,,,,,,,,CLog削除,
TRUE,CDH,OBC,EL_RECORD_EVENT,,uint32_t,group,uint32_t,local,uint8_t,Level: High=0; Low=1; EL=2; EH=3,uint32_t,note,,,,,イベント記録,
TRUE,CDH,OBC,EL_TLOG_SET_PAGE_FOR_TLM,,uint8_t,page_no,uint8_t,err_level,,,,,,,,,TLogのダウンリンクテレメ設定,
TRUE,CDH,OBC,EL_CLOG_SET_PAGE_FOR_TLM,,uint8_t,page_no,uint8_t,err_level,,,,,,,,,CLogのダウンリンクテレメ設定,
TRUE,CDH,OBC,EL_INIT_LOGGING_SETTINGS,,,,,,,,,,,,,,ログ設定を初期化,
TRUE,CDH,OBC,EL_ENABLE_LOGGING,,uint32_t,group,,,,,,,,,,,ロギングを有効化,
TRUE,CDH,OBC,EL_DISABLE_LOGGING,,uint32_t,group,,,,,,,,,,,ロギングを無効化,
TRUE,CDH,OBC,EL_ENABLE_TLOG_OVERWRITE,,uint8_t,Level: High=0; Low=1; EL=2; EH=3,,,,,,,,,,,TLogのログ上書きを有効化,
TRUE,CDH,OBC,EL_DISABLE_TLOG_OVERWRITE,,uint8_t,Level: High=0; Low=1; EL=2; EH=3,,,,,,,,,,,TLogのログ上書きを無効化,
TRUE,CDH,OBC,EH_INIT,,,,,,,,,,,,,,EHの初期化,
TRUE,CDH,OBC,EH_CLEAR_ALL_RULE,,,,,,,,,,,,,,EHのすべてのルールをクリア,
TRUE,CDH,OBC,EH_LOAD_DEFAULT_RULE,,,,,,,,,,,,,,EHのデフォルトルールを読み込み,
TRUE,CDH,OBC,EH_SET_REGISTER_RULE_EVENT_PARAM,,uint16_t,rule id,uint32_t,event group,uint32_t,event local,uint8_t,event err level,uint8_t,should_match_err_level,uint16_t,deploy bc index,登録するEHルールのイベントパラメータを設定,
TRUE,CDH,OBC,EH_SET_REGISTER_RULE_CONDITION_PARAM,,uint8_t,condition type,uint16_t,count_threshold,uint32_t,time_threshold [ms],uint8_t,is_active,,,,,登録するEHルールの対応条件パラメタを設定,
TRUE,CDH,OBC,EH_REGISTER_RULE,,,,,,,,,,,,,,設定したパラメタでEHルールを登録,
TRUE,CDH,OBC,EH_DELETE_RULE,,uint16_t,rule id,,,,,,,,,,,指定したルールを削除,
TRUE,CDH,OBC,EH_INIT_RULE,,uint16_t,rule id,,,,,,,,,,,指定したルールを初期化（ルールを有効化し，ルールカウンタも初期化）,
TRUE,CDH,OBC,EH_INIT_RULE_FOR_MULTI_LEVEL,,uint16_t,rule id,,,,,,,,,,,指定したルールを初期化（ルールを有効化し，ルールカウンタも初期化）（多段EH対応用）,
TRUE,CDH,OBC,EH_ACTIVATE_RULE,,uint16_t,rule id,,,,,,,,,,,指定したルールを有効化,
TRUE,CDH,OBC,EH_INACTIVATE_RULE,,uint16_t,rule id,,,,,,,,,,,指定したルールを無効化,
TRUE,CDH,OBC,EH_ACTIVATE_RULE_FOR_MULTI_LEVEL,,uint16_t,rule id,,,,,,,,,,,指定したルールを有効化（多段EH対応用）,
TRUE,CDH,OBC,EH_INACTIVATE_RULE_FOR_MULTI_LEVEL,,uint16_t,rule id,,,,,,,,,,,指定したルールを無効化（多段EH対応用）,
TRUE,CDH,OBC,EH_SET_RULE_COUNTER,,uint16_t,rule id,uint16_t,counter,,,,,,,,,EH_Rule の counter をセット,
TRUE,CDH,OBC,EH_CLEAR_RULE_COUNTER,,uint16_t,rule id,,,,,,,,,,,EH_Rule の counter を0 クリア,
TRUE,CDH,OBC,EH_CLEAR_RULE_COUNTER_BY_EVENT,,uint32_t,group,uint32_t,local,uint8_t,Level: High=0; Low=1; EL=2; EH=3,,,,,,,EH_Rule の counter を EL_Event 指定で 0 クリア,
TRUE,CDH,OBC,EH_CLEAR_LOG,,,,,,,,,,,,,,EHの対応ログをクリア,
TRUE,CDH,OBC,EH_SET_MAX_RESPONSE_NUM,,uint8_t,max_response_num,,,,,,,,,,,一度のEH実行で対応するイベントの最大数を設定,
TRUE,CDH,OBC,EH_SET_MAX_CHECK_EVENT_NUM,,uint16_t,max_check_event_num,,,,,,,,,,,一度のEH実行でチェックするイベントの最大数を設定,
TRUE,CDH,OBC,EH_SET_MAX_MULTI_LEVEL_NUM,,uint8_t,max_multi_level_num,,,,,,,,,,,設定可能な最大段数を設定,
TRUE,CDH,OBC,EH_SET_PAGE_OF_RULE_TABLE_FOR_TLM,,uint8_t,page_no,,,,,,,,,,,EHルールテーブルのテレメページの設定,
TRUE,CDH,OBC,EH_SET_PAGE_OF_RULE_SORTED_IDX_FOR_TLM,,uint8_t,page_no,,,,,,,,,,,EHルールのソート済みテーブルのテレメページの設定,
TRUE,CDH,OBC,EH_SET_PAGE_OF_LOG_TABLE_FOR_TLM,,uint8_t,page_no,,,,,,,,,,,EHログテーブルのテレメページの設定,
TRUE,CDH,OBC,EH_SET_TARGET_ID_OF_RULE_TABLE_FOR_TLM,,uint16_t,rule id,,,,,,,,,,,EHテレメに表示するルールのID設定,
TRUE,CDH,OBC,EH_MATCH_EVENT_COUNTER_TO_EL,,,,,,,,,,,,,,イベント発生を検知するためのEHカウンタをELカウンタに強制定期に合わせる,
TRUE,CDH,OBC,EH_INIT_RULE_BY_EVENT_GROUP,,uint32_t,group,,,,,,,,,,,EH_INIT_RULE の by_event_group コマンド．想定外のものまで操作されないか注意すること,
TRUE,CDH,OBC,EH_INIT_RULE_BY_EVENT_GROUP_FOR_MULTI_LEVEL,,uint32_t,group,,,,,,,,,,,EH_INIT_RULE_FOR_MULTI_LEVEL の by_event_group コマンド．想定外のものまで操作されないか注意すること,
TRUE,CDH,OBC,EH_ACTIVATE_RULE_BY_EVENT_GROUP,,uint32_t,group,,,,,,,,,,,EH_ACTIVATE_RULE の by_event_group コマンド．想定外のものまで操作されないか注意すること,
TRUE,CDH,OBC,EH_INACTIVATE_RULE_BY_EVENT_GROUP,,uint32_t,group,,,,,,,,,,,EH_INACTIVATE_RULE の by_event_group コマンド．想定外のものまで操作されないか注意すること,
TRUE,CDH,OBC,EH_ACTIVATE_RULE_BY_EVENT_GROUP_FOR_MULTI_LEVEL,,uint32_t,group,,,,,,,,,,,EH_ACTIVATE_RULE_FOR_MULTI_LEVEL の by_event_group コマンド．想定外のものまで操作されないか注意すること,
TRUE,CDH,OBC,EH_INACTIVATE_RULE_BY_EVENT_GROUP_FOR_MULTI_LEVEL,,uint32_t,group,,,,,,,,,,,EH_INACTIVATE_RULE_FOR_MULTI_LEVEL の by_event_group コマンド．想定外のものまで操作されないか注意すること,
TRUE,CDH,OBC,EVENT_UTIL_ENABLE_EH_EXEC,,,,,,,,,,,,,,EHの実行を有効に,
TRUE,CDH,OBC,EVENT_UTIL_DISABLE_EH_EXEC,,,,,,,,,,,,,,EHの実行を無効に,
TRUE,CDH,OBC,EVENT_UTIL_EXEC_EH,,,,,,,,,,,,,,EHを単発で実行,
TRUE,CDH,OBC,TF_INIT,,,,,,,,,,,,,,TFの初期化,
TRUE,CDH,OBC,CA_INIT,,,,,,,,,,,,,,CAの初期化,
TRUE,CDH,OBC,TF_REGISTER_TLM,,uint8_t,index,uint32_t,tlm_func,,,,,,,,,テレメトリ登録コマンド,
TRUE,CDH,OBC,CA_REGISTER_CMD,,uint16_t,index,uint32_t,cmd_func,raw,param_info,,,,,,,コマンド登録コマンド,
TRUE,CDH,OBC,TF_SET_PAGE_FOR_TLM,,uint8_t,page_no,,,,,,,,,,,テレメトリ定義テーブルページ番号設定,
TRUE,CDH,OBC,CA_SET_PAGE_FOR_TLM,,uint8_t,page_no,,,,,,,,,,,コマンド定義テーブルページ番号設定,
TRUE,CDH,OBC,GSCD_CLEAR_ERR_LOG,,,,,,,,,,,,,,最新のコマンド実行異常記録をクリア,
TRUE,CDH,OBC,RTCD_CLEAR_ERR_LOG,,,,,,,,,,,,,,最新のコマンド実行異常記録をクリア,
FALSE,CDH,OBC,DCU_ABORT_CMD,,uint16_t,Cmd ID,,,,,,,,,,,実行中の分割コマンドを停止する,
FALSE,CDH,OBC,DCU_DOWN_ABORT_FLAG,,uint16_t,Cmd ID,,,,,,,,,,,エラー，またはコマンドによって中断ステータスとなっているコマンドを，実行可能状態に戻す,
FALSE,CDH,OBC,DCU_CLEAR_LOG,,,,,,,,,,,,,,ログをクリアする,
FALSE,CDH,AOBC,DI_FM25V10_WRITE_BYTE,danger,uint8_t,Chip1 = 0; Chip2 = 1; Chip3 = 2; Chip4 = 3,uint32_t,address = 0x000000~0x01FFFF,uint8_t,write_data,,,,,,,FRAM FM25V10に1Byteを書き込む,
FALSE,CDH,AOBC,DI_FM25V10_READ_BYTE,,uint8_t,Chip1 = 0; Chip2 = 1; Chip3 = 2; Chip4 = 3,uint32_t,address = 0x000000~0x01FFFF,,,,,,,,,FRAM FM25V10から1Byteを読み出す,
FALSE,CDH,AOBC,DI_FM25V10_MANAGE_STATUS,,uint8_t,Chip1 = 0; Chip2 = 1; Chip3 = 2; Chip4 = 3,uint8_t,write = 0; read = others,uint8_t,write_status (ignored when read),,,,,,,FRAM FM25V10のステータスレジスタコマンド,
FALSE,CDH,AOBC,APP_NVM_MANAGER_WRITE_BYTES,danger,uint32_t,start address(0-0x7ffff),uint8_t,data size,raw,write data(consider endian),,,,,,,不揮発メモリに複数データを書き込む,
FALSE,CDH,AOBC,APP_NVM_MANAGER_READ_BYTES,,uint32_t,start address(0-0x7ffff),uint8_t,data size,,,,,,,,,不揮発メモリから複数データを読み出す,
FALSE,CDH,AOBC,APP_NVM_PARTITION_WRITE_BYTES,danger,uint8_t,partition ID,uint32_t,start address(0-partitin size),uint8_t,data size,raw,write data(consider endian),,,,,パーティションアクセスで不揮発メモリに複数データを書き込む,
FALSE,CDH,AOBC,APP_NVM_PARTITION_READ_BYTES,,uint8_t,partition ID,uint32_t,start address(0-partitin size),uint8_t,data size,,,,,,,パーティションアクセスで不揮発メモリから複数データを読み出す,
FALSE,CDH,AOBC,APP_AOCS_DR_SET_WRITE,,uint8_t,permission: 0=DISABLE; 1=ENABLE,uint8_t,overwrite: 0=DISABLE; 1=ENABLE,uint8_t,read_partition=2; 3; 4,uint32_t,write_pointer,,,,,DRの書き込み設定,
FALSE,CDH,AOBC,APP_AOCS_DR_READ,,uint8_t,read_mode: 0=MANUAL; 1=CONTINUOUS,uint8_t,read_partition=2; 3; 4,uint32_t,read_pointer,,,,,,,DRの読み出し,
FALSE,CDH,AOBC,APP_NVM_BC_SET_ENABLE,,uint8_t,0=DISABLE@@ 1=ENABLE,,,,,,,,,,,不揮発メモリへのBC自動バックアップを有効化/無効化する,
FALSE,CDH,AOBC,APP_NVM_BC_RESTORE_BC_FROM_NVM,,uint16_t,BC ID,,,,,,,,,,,不揮発メモリに保存されているBCを復元する,
