subsystem,is_active,name,group,local,err_level,should_match_err_level,type,count_threshold,time_threshold[s],bc,description,note
#*,FALSE,EH_RULE_HW_OC_STIM210,EL_GROUP_HW_OC,INA260_IDX_STIM210,LOW,TRUE,CONTINUOUS,FDIR_PARAMETERS_hw_oc_eh_reset_count_threshold_stim210,5.0,BC_RESET_STIM210,,
#*,FALSE,EH_RULE_HW_OC_STIM210_BROKEN,(EL_GROUP)EL_CORE_GROUP_EH_MATCH_RULE,EH_RULE_HW_OC_STIM210,EH,TRUE,CUMULATIVE,FDIR_PARAMETERS_hw_oc_eh_power_off_count_threshold_stim210,0.0,BC_POWER_OFF_STIM210,,STIM210 多段
#*,FALSE,EH_RULE_HW_OC_SAGITTA,EL_GROUP_HW_OC,INA260_IDX_SAGITTA,LOW,TRUE,CONTINUOUS,FDIR_PARAMETERS_hw_oc_eh_reset_count_threshold_sagitta,5.0,BC_RESET_SAGITTA,,
#*,FALSE,EH_RULE_HW_OC_SAGITTA_BROKEN,(EL_GROUP)EL_CORE_GROUP_EH_MATCH_RULE,EH_RULE_HW_OC_SAGITTA,EH,TRUE,CUMULATIVE,FDIR_PARAMETERS_hw_oc_eh_power_off_count_threshold_sagitta,0.0,BC_POWER_OFF_SAGITTA,,SAGITTA 多段
#*,FALSE,EH_RULE_HW_OC_OEM7600,EL_GROUP_HW_OC,INA260_IDX_OEM7600,LOW,TRUE,CONTINUOUS,FDIR_PARAMETERS_hw_oc_eh_reset_count_threshold_oem7600,5.0,BC_RESET_OEM7600,,
#*,FALSE,EH_RULE_HW_OC_OEM7600_BROKEN,(EL_GROUP)EL_CORE_GROUP_EH_MATCH_RULE,EH_RULE_HW_OC_OEM7600,EH,TRUE,CUMULATIVE,FDIR_PARAMETERS_hw_oc_eh_power_off_count_threshold_oem7600,0.0,BC_POWER_OFF_OEM7600,,OEM7600 多段
#*,FALSE,EH_RULE_HW_OC_RM3100,EL_GROUP_HW_OC,INA260_IDX_RM3100,LOW,TRUE,CONTINUOUS,FDIR_PARAMETERS_hw_oc_eh_reset_count_threshold_rm3100,5.0,BC_RESET_RM3100,,
#*,FALSE,EH_RULE_HW_OC_RM3100_BROKEN,(EL_GROUP)EL_CORE_GROUP_EH_MATCH_RULE,EH_RULE_HW_OC_RM3100,EH,TRUE,CUMULATIVE,FDIR_PARAMETERS_hw_oc_eh_power_off_count_threshold_rm3100,0.0,BC_POWER_OFF_RM3100,,RM3100 多段
#*,FALSE,EH_RULE_HW_OC_NANOSSOC_D60,EL_GROUP_HW_OC,INA260_IDX_NANOSSOC_D60,LOW,TRUE,CONTINUOUS,FDIR_PARAMETERS_hw_oc_eh_reset_count_threshold_nanossoc_d60,5.0,BC_RESET_NANOSSOC_D60,,
#*,FALSE,EH_RULE_HW_OC_NANOSSOC_D60_BROKEN,(EL_GROUP)EL_CORE_GROUP_EH_MATCH_RULE,EH_RULE_HW_OC_NANOSSOC_D60,EH,TRUE,CUMULATIVE,FDIR_PARAMETERS_hw_oc_eh_power_off_count_threshold_nanossoc_d60,0.0,BC_POWER_OFF_NANOSSOC_D60,,NANOSSOC_D60 多段
#*,FALSE,EH_RULE_HW_OC_MTQ,EL_GROUP_HW_OC,INA260_IDX_MTQ,LOW,TRUE,CONTINUOUS,FDIR_PARAMETERS_hw_oc_eh_reset_count_threshold_mtq,5.0,BC_RESET_MTQ,,
#*,FALSE,EH_RULE_HW_OC_MTQ_BROKEN,(EL_GROUP)EL_CORE_GROUP_EH_MATCH_RULE,EH_RULE_HW_OC_MTQ,EH,TRUE,CUMULATIVE,FDIR_PARAMETERS_hw_oc_eh_power_off_count_threshold_mtq,0.0,BC_POWER_OFF_MTQ,,MTQ 多段
#*,FALSE,EH_RULE_HW_OC_RW0003X,EL_GROUP_HW_OC,INA260_IDX_RW0003_X,LOW,TRUE,CONTINUOUS,FDIR_PARAMETERS_hw_oc_eh_reset_count_threshold_rw0003_x,5.0,BC_RESET_RWX,,
#*,FALSE,EH_RULE_HW_OC_RW0003X_BROKEN,(EL_GROUP)EL_CORE_GROUP_EH_MATCH_RULE,EH_RULE_HW_OC_RW0003X,EH,TRUE,CUMULATIVE,FDIR_PARAMETERS_hw_oc_eh_power_off_count_threshold_rw0003_x,0.0,BC_POWER_OFF_RWX,,RW0003X 多段
#*,FALSE,EH_RULE_HW_OC_RW0003Y,EL_GROUP_HW_OC,INA260_IDX_RW0003_Y,LOW,TRUE,CONTINUOUS,FDIR_PARAMETERS_hw_oc_eh_reset_count_threshold_rw0003_y,5.0,BC_RESET_RWY,,
#*,FALSE,EH_RULE_HW_OC_RW0003Y_BROKEN,(EL_GROUP)EL_CORE_GROUP_EH_MATCH_RULE,EH_RULE_HW_OC_RW0003Y,EH,TRUE,CUMULATIVE,FDIR_PARAMETERS_hw_oc_eh_power_off_count_threshold_rw0003_y,0.0,BC_POWER_OFF_RWY,,RW0003Y 多段
#*,FALSE,EH_RULE_HW_OC_RW0003Z,EL_GROUP_HW_OC,INA260_IDX_RW0003_Z,LOW,TRUE,CONTINUOUS,FDIR_PARAMETERS_hw_oc_eh_reset_count_threshold_rw0003_z,5.0,BC_RESET_RWZ,,
#*,FALSE,EH_RULE_HW_OC_RW0003Z_BROKEN,(EL_GROUP)EL_CORE_GROUP_EH_MATCH_RULE,EH_RULE_HW_OC_RW0003Z,EH,TRUE,CUMULATIVE,FDIR_PARAMETERS_hw_oc_eh_power_off_count_threshold_rw0003_z,0.0,BC_POWER_OFF_RWZ,,RW0003Z 多段
