subsystem,is_active,name,group,local,err_level,should_match_err_level,type,count_threshold,time_threshold[s],bc,description,note
#*,FALSE,EH_RULE_TLM_ERROR_MPU9250,EL_GROUP_TLM_ERROR_MPU9250,MPU9250_IDX_ON_AOBC,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_mp9250,2.0,BC_RESET_MPU9250,,MPU9250 TLM ERROR
#*,FALSE,EH_RULE_TLM_ERROR_RM3100_ON_AOBC,EL_GROUP_TLM_ERROR_RM3100,RM3100_IDX_ON_AOBC,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_rm3100,2.0,BC_RESET_RM3100,,RM3100 ON AOBC TLM ERROR
#*,FALSE,EH_RULE_TLM_ERROR_RM3100_ON_AOBC_BROKEN,(EL_GROUP)EL_CORE_GROUP_EH_MATCH_RULE,EH_RULE_TLM_ERROR_RM3100_ON_AOBC,EH,TRUE,CUMULATIVE,FDIR_PARAMETERS_tlm_error_eh_switch_sensor_count_threshold_rm3100,0.0,BC_SELECT_RM3100_EXTERNAL,,RM3100 ON AOBC TLM ERROR 多段
#*,FALSE,EH_RULE_TLM_ERROR_RM3100_EXTERNAL,EL_GROUP_TLM_ERROR_RM3100,RM3100_IDX_EXTERNAL,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_rm3100,2.0,BC_RESET_RM3100,,RM3100 EXTERNAL TLM ERROR
#*,FALSE,EH_RULE_TLM_ERROR_RM3100_EXTERNAL_BROKEN,(EL_GROUP)EL_CORE_GROUP_EH_MATCH_RULE,EH_RULE_TLM_ERROR_RM3100_EXTERNAL,EH,TRUE,CUMULATIVE,FDIR_PARAMETERS_tlm_error_eh_switch_sensor_count_threshold_rm3100,0.0,BC_SELECT_RM3100_ON_AOBC,,RM3100 EXTERNAL TLM ERROR 多段
#*,FALSE,EH_RULE_TLM_ERROR_NANOSSOC_D60_0,EL_GROUP_TLM_ERROR_NANOSSOC,NANOSSOC_D60_IDX_0,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_nanossoc_d60,2.0,BC_RESET_NANOSSOC_D60,,NANOSSOC D60 0 TLM ERROR
#*,FALSE,EH_RULE_TLM_ERROR_NANOSSOC_D60_1,EL_GROUP_TLM_ERROR_NANOSSOC,NANOSSOC_D60_IDX_1,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_nanossoc_d60,2.0,BC_RESET_NANOSSOC_D60,,NANOSSOC D60 1 TLM ERROR
#*,FALSE,EH_RULE_TLM_ERROR_NANOSSOC_D60_2,EL_GROUP_TLM_ERROR_NANOSSOC,NANOSSOC_D60_IDX_2,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_nanossoc_d60,2.0,BC_RESET_NANOSSOC_D60,,NANOSSOC D60 2 TLM ERROR
#*,FALSE,EH_RULE_TLM_ERROR_NANOSSOC_D60_3,EL_GROUP_TLM_ERROR_NANOSSOC,NANOSSOC_D60_IDX_3,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_nanossoc_d60,2.0,BC_RESET_NANOSSOC_D60,,NANOSSOC D60 3 TLM ERROR
#*,FALSE,EH_RULE_TLM_ERROR_STIM210,EL_GROUP_TLM_ERROR_STIM210,STIM210_IDX_IN_UNIT,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_stim210,2.0,BC_RESET_STIM210,,STIM210 TLM ERROR
#*,FALSE,EH_RULE_TLM_ERROR_STIM210_BROKEN,(EL_GROUP)EL_CORE_GROUP_EH_MATCH_RULE,EH_RULE_TLM_ERROR_STIM210,EH,TRUE,CUMULATIVE,FDIR_PARAMETERS_tlm_error_eh_switch_sensor_count_threshold_stim210,0.0,BC_POWER_OFF_STIM210,,STIM210 TLM ERROR 多段
#*,FALSE,EH_RULE_TLM_ERROR_SAGITTA,EL_GROUP_TLM_ERROR_SAGITTA,SAGITTA_IDX_IN_UNIT,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_sagitta,2.0,BC_RESET_SAGITTA,,SAGITTA TLM ERROR
#*,FALSE,EH_RULE_TLM_ERROR_OEM7600,EL_GROUP_TLM_ERROR_OEM7600,OEM7600_IDX_IN_UNIT,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_oem7600,1.0,BC_RESET_OEM7600,,OEM7600 TLM ERROR
#*,FALSE,EH_RULE_TLM_ERROR_RWX,EL_GROUP_TLM_ERROR_RW0003X,RW0003_IDX_ON_X,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_rw0003,2.0,BC_RESET_RWX,,RWX TLM ERROR
#*,FALSE,EH_RULE_TLM_ERROR_RWY,EL_GROUP_TLM_ERROR_RW0003Y,RW0003_IDX_ON_Y,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_rw0003,2.0,BC_RESET_RWY,,RWY TLM ERROR
#*,FALSE,EH_RULE_TLM_ERROR_RWZ,EL_GROUP_TLM_ERROR_RW0003Z,RW0003_IDX_ON_Z,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_rw0003,2.0,BC_RESET_RWZ,,RWZ TLM ERROR
#*,FALSE,EH_RULE_TLM_ERROR_INA260_PIC,EL_GROUP_TLM_ERROR_INA260,INA260_IDX_PIC,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_ina260,5.0,BC_RESET_INA260,,INA260 TLM ERROR
#*,FALSE,EH_RULE_TLM_ERROR_INA260_STIM210,EL_GROUP_TLM_ERROR_INA260,INA260_IDX_STIM210,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_ina260,5.0,BC_RESET_INA260,,
#*,FALSE,EH_RULE_TLM_ERROR_INA260_SAGITTA,EL_GROUP_TLM_ERROR_INA260,INA260_IDX_SAGITTA,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_ina260,5.0,BC_RESET_INA260,,
#*,FALSE,EH_RULE_TLM_ERROR_INA260_OEM7600,EL_GROUP_TLM_ERROR_INA260,INA260_IDX_OEM7600,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_ina260,5.0,BC_RESET_INA260,,
#*,FALSE,EH_RULE_TLM_ERROR_INA260_RM3100,EL_GROUP_TLM_ERROR_INA260,INA260_IDX_RM3100,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_ina260,5.0,BC_RESET_INA260,,
#*,FALSE,EH_RULE_TLM_ERROR_INA260_NANOSSOC_D60,EL_GROUP_TLM_ERROR_INA260,INA260_IDX_NANOSSOC_D60,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_ina260,5.0,BC_RESET_INA260,,
#*,FALSE,EH_RULE_TLM_ERROR_INA260_MTQ,EL_GROUP_TLM_ERROR_INA260,INA260_IDX_MTQ,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_ina260,5.0,BC_RESET_INA260,,
#*,FALSE,EH_RULE_TLM_ERROR_INA260_RW0003_X,EL_GROUP_TLM_ERROR_INA260,INA260_IDX_RW0003_X,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_ina260,5.0,BC_RESET_INA260,,
#*,FALSE,EH_RULE_TLM_ERROR_INA260_RW0003_Y,EL_GROUP_TLM_ERROR_INA260,INA260_IDX_RW0003_Y,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_ina260,5.0,BC_RESET_INA260,,
#*,FALSE,EH_RULE_TLM_ERROR_INA260_RW0003_Z,EL_GROUP_TLM_ERROR_INA260,INA260_IDX_RW0003_Z,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_ina260,5.0,BC_RESET_INA260,,
#*,FALSE,EH_RULE_CHECKSUM_ERROR_NANOSSOC_D60_0,EL_GROUP_CHECKSUM_ERROR_NANOSSOC,NANOSSOC_D60_IDX_0,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_nanossoc_d60,2.0,BC_RESET_NANOSSOC_D60,,NANOSSOC D60 0 CHECKSUM ERROR
#*,FALSE,EH_RULE_CHECKSUM_ERROR_NANOSSOC_D60_1,EL_GROUP_CHECKSUM_ERROR_NANOSSOC,NANOSSOC_D60_IDX_1,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_nanossoc_d60,2.0,BC_RESET_NANOSSOC_D60,,NANOSSOC D60 1 CHECKSUM ERROR
#*,FALSE,EH_RULE_CHECKSUM_ERROR_NANOSSOC_D60_2,EL_GROUP_CHECKSUM_ERROR_NANOSSOC,NANOSSOC_D60_IDX_2,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_nanossoc_d60,2.0,BC_RESET_NANOSSOC_D60,,NANOSSOC D60 2 CHECKSUM ERROR
#*,FALSE,EH_RULE_CHECKSUM_ERROR_NANOSSOC_D60_3,EL_GROUP_CHECKSUM_ERROR_NANOSSOC,NANOSSOC_D60_IDX_3,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_nanossoc_d60,2.0,BC_RESET_NANOSSOC_D60,,NANOSSOC D60 3 CHECKSUM ERROR
#*,FALSE,EH_RULE_CRC_ERROR_STIM210,EL_GROUP_CRC_ERROR_STIM210,STIM210_IDX_IN_UNIT,HIGH,TRUE,CONTINUOUS,FDIR_PARAMETERS_tlm_error_eh_reset_count_threshold_stim210,2.0,BC_RESET_STIM210,,STIM210 CRC ERROR
