TRUE,8,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,PAGE_NO,uint8_t,,(uint8_t)(app_manager->page_no),NONE,,,,,,,,,,
,APP0_INITIALIZER,uint32_t,,(uint32_t)(app_manager->ais[(AM_TLM_PAGE_SIZE*app_manager->page_no)+0].initializer),NONE,,,,,,,,,,
,APP0_ENTRYPOINT,uint32_t,,(uint32_t)(app_manager->ais[(AM_TLM_PAGE_SIZE*app_manager->page_no)+0].entry_point),NONE,,,,,,,,,,
,APP0_INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[(AM_TLM_PAGE_SIZE*app_manager->page_no)+0].init_duration),NONE,,,,,,,,,,
,APP0_PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[(AM_TLM_PAGE_SIZE*app_manager->page_no)+0].prev),NONE,,,,,,,,,,
,APP0_MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[(AM_TLM_PAGE_SIZE*app_manager->page_no)+0].min),NONE,,,,,,,,,,
,APP0_MAX_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[(AM_TLM_PAGE_SIZE*app_manager->page_no)+0].max),NONE,,,,,,,,,,
,APP1_INITIALIZER,uint32_t,,(uint32_t)(app_manager->ais[(AM_TLM_PAGE_SIZE*app_manager->page_no)+1].initializer),NONE,,,,,,,,,,
,APP1_ENTRYPOINT,uint32_t,,(uint32_t)(app_manager->ais[(AM_TLM_PAGE_SIZE*app_manager->page_no)+1].entry_point),NONE,,,,,,,,,,
,APP1_INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[(AM_TLM_PAGE_SIZE*app_manager->page_no)+1].init_duration),NONE,,,,,,,,,,
,APP1_PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[(AM_TLM_PAGE_SIZE*app_manager->page_no)+1].prev),NONE,,,,,,,,,,
,APP1_MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[(AM_TLM_PAGE_SIZE*app_manager->page_no)+1].min),NONE,,,,,,,,,,
,APP1_MAX_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[(AM_TLM_PAGE_SIZE*app_manager->page_no)+1].max),NONE,,,,,,,,,,
