TRUE,50,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,TEMPERATURE.THRESHOLD.PIC_UPPER_DEGC,float,,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_PIC].upper_degC,NONE,,,,,,,,PIC温度上限,,
,TEMPERATURE.THRESHOLD.PIC_LOWER_DEGC,float,,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_PIC].lower_degC,NONE,,,,,,,,PIC温度下限,,
,TEMPERATURE.THRESHOLD.RW_DCDC_UPPER_DEGC,float,,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_RW_DCDC].upper_degC,NONE,,,,,,,,RW_DCDC温度上限,,
,TEMPERATURE.THRESHOLD.RW_DCDC_LOWER_DEGC,float,,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_RW_DCDC].lower_degC,NONE,,,,,,,,RW_DCDC温度下限,,
,TEMPERATURE.THRESHOLD.ROUGH_GYRO_UPPER_DEGC,float,,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_ROUGH_GYRO].upper_degC,NONE,,,,,,,,ROUGH_GYRO温度上限,,
,TEMPERATURE.THRESHOLD.ROUGH_GYRO_LOWER_DEGC,float,,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_ROUGH_GYRO].lower_degC,NONE,,,,,,,,ROUGH_GYRO温度下限,,
,TEMPERATURE.THRESHOLD.FINE_GYRO_X_UPPER_DEGC,float,,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_FINE_GYRO_X].upper_degC,NONE,,,,,,,,FINE_GYRO_X温度上限,,
,TEMPERATURE.THRESHOLD.FINE_GYRO_X_LOWER_DEGC,float,,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_FINE_GYRO_X].lower_degC,NONE,,,,,,,,FINE_GYRO_X温度下限,,
,TEMPERATURE.THRESHOLD.FINE_GYRO_Y_UPPER_DEGC,float,,(float)temperature_anomaly->threshold_list[APP_TEMPERATURE_ANOMALY_IDX_FINE_GYRO_Y].upper_degC,NONE,,,,,,,,FINE_GYRO_Y温度上限,,
