TRUE,45,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,MASS_kg,float,,(float)(aocs_manager->mass_sc_kg),NONE,,,,,,,,衛星質量 [kg],,
,SC_RMM_BODY.X_Am2,float,,(float)(aocs_manager->rmm_sc_body_Am2[0]),NONE,,,,,,,,機体固定X軸衛星残留磁気モーメント [Am2],,
,SC_RMM_BODY.Y_Am2,float,,(float)(aocs_manager->rmm_sc_body_Am2[1]),NONE,,,,,,,,機体固定Y軸衛星残留磁気モーメント [Am2],,
,SC_RMM_BODY.Z_Am2,float,,(float)(aocs_manager->rmm_sc_body_Am2[2]),NONE,,,,,,,,機体固定Z軸衛星残留磁気モーメント [Am2],,
,INERTIA_TENSOR_BODY.XX_kgm2,float,,(float)(aocs_manager->inertia_tensor_sc_body_kgm2[0][0]),NONE,,,,,,,,機体固定X軸慣性テンソル [kgm2],,
,INERTIA_TENSOR_BODY.YY_kgm2,float,,(float)(aocs_manager->inertia_tensor_sc_body_kgm2[1][1]),NONE,,,,,,,,機体固定Y軸慣性テンソル [kgm2],,
,INERTIA_TENSOR_BODY.ZZ_kgm2,float,,(float)(aocs_manager->inertia_tensor_sc_body_kgm2[2][2]),NONE,,,,,,,,機体固定Z軸慣性テンソル [kgm2],,
,INERTIA_TENSOR_BODY.XY_kgm2,float,,(float)(aocs_manager->inertia_tensor_sc_body_kgm2[0][1]),NONE,,,,,,,,機体固定X^Y軸慣性テンソル [kgm2],,
,INERTIA_TENSOR_BODY.XZ_kgm2,float,,(float)(aocs_manager->inertia_tensor_sc_body_kgm2[0][2]),NONE,,,,,,,,機体固定X-Z軸慣性テンソル [kgm2],,
,INERTIA_TENSOR_BODY.YZ_kgm2,float,,(float)(aocs_manager->inertia_tensor_sc_body_kgm2[1][2]),NONE,,,,,,,,機体固定Y-Z軸慣性テンソル [kgm2],,
,ANG_MOM_EST_BODY.X_Nms,float,,(float)(aocs_manager->ang_mom_est_body_Nms[0]),NONE,,,,,,,,機体固定X軸角運動量 [Nms],,
,ANG_MOM_EST_BODY.Y_Nms,float,,(float)(aocs_manager->ang_mom_est_body_Nms[1]),NONE,,,,,,,,機体固定Y軸角運動量 [Nms],,
