TRUE,9,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,APP0.INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[0].init_duration),NONE,,,,,,,,,,
,APP0.PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[0].prev),NONE,,,,,,,,,,
,APP0.MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[0].min),NONE,,,,,,,,,,
,APP0.MAX_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[0].max),NONE,,,,,,,,,,
,APP1.INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[1].init_duration),NONE,,,,,,,,,,
,APP1.PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[1].prev),NONE,,,,,,,,,,
,APP1.MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[1].min),NONE,,,,,,,,,,
,APP1.MAX_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[1].max),NONE,,,,,,,,,,
,APP2.INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[2].init_duration),NONE,,,,,,,,,,
,APP2.PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[2].prev),NONE,,,,,,,,,,
,APP2.MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[2].min),NONE,,,,,,,,,,
,APP2.MAX_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[2].max),NONE,,,,,,,,,,
,APP3.INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[3].init_duration),NONE,,,,,,,,,,
,APP3.PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[3].prev),NONE,,,,,,,,,,
,APP3.MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[3].min),NONE,,,,,,,,,,
,APP3.MAX_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[3].max),NONE,,,,,,,,,,
,APP4.INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[4].init_duration),NONE,,,,,,,,,,
,APP4.PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[4].prev),NONE,,,,,,,,,,
,APP4.MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[4].min),NONE,,,,,,,,,,
