TRUE,51,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,APP50.INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[50].init_duration),NONE,,,,,,,,,,
,APP50.PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[50].prev),NONE,,,,,,,,,,
,APP50.MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[50].min),NONE,,,,,,,,,,
,APP50.MAX_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[50].max),NONE,,,,,,,,,,
,APP51.INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[51].init_duration),NONE,,,,,,,,,,
,APP51.PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[51].prev),NONE,,,,,,,,,,
,APP51.MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[51].min),NONE,,,,,,,,,,
,APP51.MAX_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[51].max),NONE,,,,,,,,,,
,APP52.INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[52].init_duration),NONE,,,,,,,,,,
,APP52.PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[52].prev),NONE,,,,,,,,,,
,APP52.MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[52].min),NONE,,,,,,,,,,
,APP52.MAX_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[52].max),NONE,,,,,,,,,,
,APP53.INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[53].init_duration),NONE,,,,,,,,,,
,APP53.PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[53].prev),NONE,,,,,,,,,,
,APP53.MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[53].min),NONE,,,,,,,,,,
,APP53.MAX_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[53].max),NONE,,,,,,,,,,
,APP54.INIT_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[54].init_duration),NONE,,,,,,,,,,
,APP54.PREV_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[54].prev),NONE,,,,,,,,,,
,APP54.MIN_PROC_TIME,uint8_t,,(uint8_t)(app_manager->ais[54].min),NONE,,,,,,,,,,
