TRUE,39,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
#,MPU9250.ANG_VEL_BIAS_COMP_X_rad/s,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.ang_vel_bias_compo_rad_s[0]),NONE,,,,,,,,MPU9250角速度バイアス誤差コンポ座標X軸,,
#,MPU9250.ANG_VEL_BIAS_COMP_Y_rad/s,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.ang_vel_bias_compo_rad_s[1]),NONE,,,,,,,,MPU9250角速度バイアス誤差コンポ座標Y軸,,
#,MPU9250.ANG_VEL_BIAS_COMP_Z_rad/s,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.ang_vel_bias_compo_rad_s[2]),NONE,,,,,,,,MPU9250角速度バイアス誤差コンポ座標Z軸,,
#,MPU9250.MAG_BIAS_COMP_X_nT,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.mag_bias_compo_nT[0]),NONE,,,,,,,,MPU9250磁場バイアス誤差コンポ座標X軸,,
#,MPU9250.MAG_BIAS_COMP_Y_nT,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.mag_bias_compo_nT[1]),NONE,,,,,,,,MPU9250磁場バイアス誤差コンポ座標Y軸,,
#,MPU9250.MAG_BIAS_COMP_Z_nT,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.mag_bias_compo_nT[2]),NONE,,,,,,,,MPU9250磁場バイアス誤差コンポ座標Z軸,,
#,RM_AOBC.MAG_BIAS_COMP_X_nT,float,,(float)(rm3100_driver[RM3100_IDX_ON_AOBC]->info.mag_bias_compo_nT[0]),NONE,,,,,,,,RM3100_AOBC磁場バイアス誤差コンポ座標X軸,,
#,RM_AOBC.MAG_BIAS_COMP_Y_nT,float,,(float)(rm3100_driver[RM3100_IDX_ON_AOBC]->info.mag_bias_compo_nT[1]),NONE,,,,,,,,RM3100_AOBC磁場バイアス誤差コンポ座標Y軸,,
#,RM_AOBC.MAG_BIAS_COMP_Z_nT,float,,(float)(rm3100_driver[RM3100_IDX_ON_AOBC]->info.mag_bias_compo_nT[2]),NONE,,,,,,,,RM3100_AOBC磁場バイアス誤差コンポ座標Z軸,,
