TRUE,35,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
#,MPU9250.ACCELERATION.COMPO_X_m_s2,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.accel_compo_m_s2[0]),NONE,,,,,,,,AOBC搭載MPU9250での加速度測定値（コンポ座標X）,,
#,MPU9250.ACCELERATION.COMPO_Y_m_s2,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.accel_compo_m_s2[1]),NONE,,,,,,,,AOBC搭載MPU9250での加速度測定値（コンポ座標Y）,,
#,MPU9250.ACCELERATION.COMPO_Z_m_s2,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.accel_compo_m_s2[2]),NONE,,,,,,,,AOBC搭載MPU9250での加速度測定値（コンポ座標Z）,,
#,NANOSSOC_D60.IDX_0.OBSERVED_ANGLE.ALPHA_deg,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_0]->info.sun_angle_compo_deg[0]),NONE,,,,,,,,サンセンサIDX 0で計測した太陽角度α[deg],,
#,NANOSSOC_D60.IDX_0.OBSERVED_ANGLE.BETA_deg,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_0]->info.sun_angle_compo_deg[1]),NONE,,,,,,,,サンセンサIDX 0で計測した太陽角度β[deg],,
#,NANOSSOC_D60.IDX_0.SUN_VEC_BODY_X,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_0]->info.sun_vec_body[0]),NONE,,,,,,,,サンセンサIDX 0で計測した太陽ベクトル機体座標系X,,
#,NANOSSOC_D60.IDX_0.SUN_VEC_BODY_Y,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_0]->info.sun_vec_body[1]),NONE,,,,,,,,サンセンサIDX 0で計測した太陽ベクトル機体座標系Y,,
#,NANOSSOC_D60.IDX_0.SUN_VEC_BODY_Z,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_0]->info.sun_vec_body[2]),NONE,,,,,,,,サンセンサIDX 0で計測した太陽ベクトル機体座標系Z,,
#,NANOSSOC_D60.IDX_1.OBSERVED_ANGLE.ALPHA_deg,float,,(float)(nanossoc_d60_driver[NANOSSOC_D60_IDX_1]->info.sun_angle_compo_deg[0]),NONE,,,,,,,,サンセンサIDX 1で計測した太陽角度α[deg],,
