TRUE,5,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,EXEC_LOG_ORDER0,uint8_t,,divided_cmd_utility->exec_log_order[0],NONE,,,,,,,,,,
,EXEC_LOG_ORDER1,uint8_t,,divided_cmd_utility->exec_log_order[1],NONE,,,,,,,,,,
,EXEC_LOG_ORDER2,uint8_t,,divided_cmd_utility->exec_log_order[2],NONE,,,,,,,,,,
,EXEC_LOG_ORDER3,uint8_t,,divided_cmd_utility->exec_log_order[3],NONE,,,,,,,,,,
,EXEC_LOG_ORDER4,uint8_t,,divided_cmd_utility->exec_log_order[4],NONE,,,,,,,,,,
,EXEC_LOG_ORDER5,uint8_t,,divided_cmd_utility->exec_log_order[5],NONE,,,,,,,,,,
,EXEC_LOG_ORDER6,uint8_t,,divided_cmd_utility->exec_log_order[6],NONE,,,,,,,,,,
,EXEC_LOG_ORDER7,uint8_t,,divided_cmd_utility->exec_log_order[7],NONE,,,,,,,,,,
,EXEC_LOGS0.CMD_CODE,uint16_t,,(uint16_t)(divided_cmd_utility->exec_logs[divided_cmd_utility->exec_log_order[0]].cmd_code),HEX,,,,,,,,,,
,EXEC_LOGS0.STATUS,uint8_t,,(uint8_t)(divided_cmd_utility->exec_logs[divided_cmd_utility->exec_log_order[0]].status),STATUS,,,,,,,"0=FINISHED, 1=PROGRESS, 2=ABORTED_BY_ERR, 3=ABORTED_BY_CMD, *=N/A",,,
,EXEC_LOGS0.EXEC_COUNTER,uint16_t,,(uint16_t)(divided_cmd_utility->exec_logs[divided_cmd_utility->exec_log_order[0]].exec_counter),NONE,,,,,,,,,,
,EXEC_LOGS0.LAST_EXEC_STS,int8_t,,(int8_t)(divided_cmd_utility->exec_logs[divided_cmd_utility->exec_log_order[0]].last_exec_sts),STATUS,,,,,,,"0=SUC, 1=LEN, 2=PRM, 3=CNT, 4=NDF, 5=RUT, 6=FMT, *=ERR",,,
,EXEC_LOGS0.LAST_EXEC_TIME.TOTAL_CYCLE,uint32_t,,(uint32_t)(divided_cmd_utility->exec_logs[divided_cmd_utility->exec_log_order[0]].last_exec_time.total_cycle),NONE,,,,,,,,,,
,EXEC_LOGS1.CMD_CODE,uint16_t,,(uint16_t)(divided_cmd_utility->exec_logs[divided_cmd_utility->exec_log_order[1]].cmd_code),HEX,,,,,,,,,,
