TRUE,62,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,COUNTER,uint32_t,,(uint32_t)(aocs_data_recorder->read_tlm_algorithm.counter),NONE,,,,,,,,,,
,RECODED_TIME.OBCT_TOTAL_CYCLE,uint32_t,,(uint32_t)(aocs_data_recorder->read_tlm_algorithm.obct_total_cycle_recorded),NONE,,,,,,,,,,
,RECODED_TIME.REFERENCE_jday,double,,(double)(aocs_data_recorder->read_tlm_algorithm.reference_jday),NONE,,,,,,,,,,
,ATTITUDE.QUATERNION_EST_I2B.X,float,,(float)(aocs_data_recorder->read_tlm_algorithm.quaternion_est_i2b.vector_part[0]),NONE,,,,,,,,,,
,ATTITUDE.QUATERNION_EST_I2B.Y,float,,(float)(aocs_data_recorder->read_tlm_algorithm.quaternion_est_i2b.vector_part[1]),NONE,,,,,,,,,,
,ATTITUDE.QUATERNION_EST_I2B.Z,float,,(float)(aocs_data_recorder->read_tlm_algorithm.quaternion_est_i2b.vector_part[2]),NONE,,,,,,,,,,
,ATTITUDE.QUATERNION_EST_I2B.W,float,,(float)(aocs_data_recorder->read_tlm_algorithm.quaternion_est_i2b.scalar_part),NONE,,,,,,,,,,
,ATTITUDE.ANG_VEL_EST_BODY_rad_s.X,float,,(float)(aocs_data_recorder->read_tlm_algorithm.ang_vel_est_body_rad_s[0]),NONE,,,,,,,,,,
,ATTITUDE.ANG_VEL_EST_BODY_rad_s.Y,float,,(float)(aocs_data_recorder->read_tlm_algorithm.ang_vel_est_body_rad_s[1]),NONE,,,,,,,,,,
,ATTITUDE.ANG_VEL_EST_BODY_rad_s.Z,float,,(float)(aocs_data_recorder->read_tlm_algorithm.ang_vel_est_body_rad_s[2]),NONE,,,,,,,,,,
,ATTITUDE.SUN_VEC_EST_BODY.X,float,,(float)(aocs_data_recorder->read_tlm_algorithm.sun_vec_est_body[0]),NONE,,,,,,,,,,
,ATTITUDE.SUN_VEC_EST_BODY.Y,float,,(float)(aocs_data_recorder->read_tlm_algorithm.sun_vec_est_body[1]),NONE,,,,,,,,,,
,ATTITUDE.SUN_VEC_EST_BODY.Z,float,,(float)(aocs_data_recorder->read_tlm_algorithm.sun_vec_est_body[2]),NONE,,,,,,,,,,
,ATTITUDE.MAG_VEC_EST_BODY_nT.X,float,,(float)(aocs_data_recorder->read_tlm_algorithm.mag_vec_est_body_nT[0]),NONE,,,,,,,,,,
,ATTITUDE.MAG_VEC_EST_BODY_nT.Y,float,,(float)(aocs_data_recorder->read_tlm_algorithm.mag_vec_est_body_nT[1]),NONE,,,,,,,,,,
,ATTITUDE.MAG_VEC_EST_BODY_nT.Z,float,,(float)(aocs_data_recorder->read_tlm_algorithm.mag_vec_est_body_nT[2]),NONE,,,,,,,,,,
,ATTITUDE.INTERNAL_TORQUE_BODY_Nm.X,float,,(float)(aocs_data_recorder->read_tlm_algorithm.internal_torque_target_body_Nm[0]),NONE,,,,,,,,,,
,ATTITUDE.INTERNAL_TORQUE_BODY_Nm.Y,float,,(float)(aocs_data_recorder->read_tlm_algorithm.internal_torque_target_body_Nm[1]),NONE,,,,,,,,,,
,ATTITUDE.INTERNAL_TORQUE_BODY_Nm.Z,float,,(float)(aocs_data_recorder->read_tlm_algorithm.internal_torque_target_body_Nm[2]),NONE,,,,,,,,,,
,ATTITUDE.EXTERNAL_TORQUE_BODY_Nm.X,float,,(float)(aocs_data_recorder->read_tlm_algorithm.external_torque_target_body_Nm[0]),NONE,,,,,,,,,,
,ATTITUDE.EXTERNAL_TORQUE_BODY_Nm.Y,float,,(float)(aocs_data_recorder->read_tlm_algorithm.external_torque_target_body_Nm[1]),NONE,,,,,,,,,,
,ATTITUDE.EXTERNAL_TORQUE_BODY_Nm.Z,float,,(float)(aocs_data_recorder->read_tlm_algorithm.external_torque_target_body_Nm[2]),NONE,,,,,,,,,,
,ATTITUDE.RW_ANG_VEL_COMPO_rad_s.X,float,,(float)(aocs_data_recorder->read_tlm_algorithm.rw_angular_velocity_rad_s[0]),NONE,,,,,,,,,,
,ATTITUDE.RW_ANG_VEL_COMPO_rad_s.Y,float,,(float)(aocs_data_recorder->read_tlm_algorithm.rw_angular_velocity_rad_s[1]),NONE,,,,,,,,,,
,ATTITUDE.RW_ANG_VEL_COMPO_rad_s.Z,float,,(float)(aocs_data_recorder->read_tlm_algorithm.rw_angular_velocity_rad_s[2]),NONE,,,,,,,,,,
