TRUE,14,OBC,"uint16_t offset = event_handler->tlm_info.rule.page_no * EH_RULE_TLM_PAGE_SIZE;
const EH_Rule* rules = event_handler->rule_table.rules;
",,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,TLM_INFO.RULE.PAGE_NO,uint8_t,,event_handler->tlm_info.rule.page_no,NONE,,,,,,,,,,
,RULE_TABLE.REGISTERED_RULE_NUM,uint16_t,,event_handler->rule_table.registered_rule_num,NONE,,,,,,,,,,
,RULE0.SETTINGS.EVENT.GROUP,uint8_t,,(uint8_t)rules[0 + offset].settings.event.group,NONE,,,,,,,,,,
,RULE0.SETTINGS.EVENT.LOCAL,uint32_t,,rules[0 + offset].settings.event.local,NONE,,,,,,,,,,
,RULE0.SETTINGS.EVENT.ERR_LEVEL,_uint8_t,3,(uint8_t)((((uint8_t)rules[0 + offset].settings.event.err_level) << 5 & 0xe0) | (rules[0 + offset].settings.should_match_err_level << 4 & 0x10) | (rules[0 + offset].settings.is_active << 3 & 0x08) | (((uint8_t)rules[0 + offset].settings.condition.type) & 0x07)),STATUS,,,,,,,"0=HIGH,1=LOW, 2=EL, 3=EH, *=N/A",,,
,RULE0.SETTINGS.SHOULD_MATCH_ERR_LEVEL,,1,,STATUS,,,,,,,"0=NO, 1=YES, *=N/A",,,
,RULE0.SETTINGS.IS_ACTIVE,,1,,STATUS,,,,,,,"0=INACTIVE, 1=ACTIVE, *=N/A",,,
,RULE0.SETTINGS.CONDITION.TYPE,,3,,STATUS,,,,,,,"0=SINGLE, 1=CONTINUOUS, 2=CUMULATIVE, *=N/A",,,
,RULE0.SETTINGS.CONDITION.COUNT_THRESHOLD,uint16_t,,rules[0 + offset].settings.condition.count_threshold,NONE,,,,,,,,,,
,RULE0.SETTINGS.CONDITION.TIME_THRESHOLD_MS,uint32_t,,rules[0 + offset].settings.condition.time_threshold_ms,NONE,,,,,,,,,,
,RULE0.SETTINGS.DEPLOY_BCT_ID,uint16_t,,(uint16_t)rules[0 + offset].settings.deploy_bct_id,NONE,,,,,,,,,,
,RULE0.COUNTER,uint16_t,,rules[0 + offset].counter,NONE,,,,,,,,,,
,RULE0.LAST_EVENT_TIME.TOTAL_CYCLE,uint32_t,,(uint32_t)rules[0 + offset].last_event_time.total_cycle,NONE,,,,,,,,,,
