TRUE,49,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
#,RW0003.SPIKE_CONFIG_X_CNT_LMT_ACCEPT,uint8_t,,(uint8_t)(rw0003_filter->spike_filter_config[0].count_limit_to_accept),NONE,,,,,,,,RW0003_Xスパイク値を真値として受け入れるまでのカウント数,,
#,RW0003.SPIKE_CONFIG_X_CNT_LMT_REJECT,uint8_t,,(uint8_t)(rw0003_filter->spike_filter_config[0].count_limit_to_reject_continued_warning),NONE,,,,,,,,RW0003_X連続して入力値を除外した回数のカウント上限値,,
#,RW0003.SPIKE_CONFIG_X_REJECT_THRESHOLD,float,,(float)(rw0003_filter->spike_filter_config[0].reject_threshold),NONE,,,,,,,,RW0003_Xスパイク値判定に用いる閾値,,
#,RW0003.SPIKE_CONFIG_X_LMT_ACCEPT_AS_STEP,float,,(float)(rw0003_filter->spike_filter_config[0].amplitude_limit_to_accept_as_step),NONE,,,,,,,,RW0003_Xステップ変化として値を受けれる判定のための許容値,,
#,RW0003.SPIKE_ERROR_X,uint8_t,,(uint8_t)(rw0003_filter->filter_error[0]),NONE,,,,,,,,RW0003_Xスパイクフィルタエラー,,
#,RW0003.SPIKE_CONFIG_Y_CNT_LMT_ACCEPT,uint8_t,,(uint8_t)(rw0003_filter->spike_filter_config[1].count_limit_to_accept),NONE,,,,,,,,RW0003_Yスパイク値を真値として受け入れるまでのカウント数,,
#,RW0003.SPIKE_CONFIG_Y_CNT_LMT_REJECT,uint8_t,,(uint8_t)(rw0003_filter->spike_filter_config[1].count_limit_to_reject_continued_warning),NONE,,,,,,,,RW0003_Y連続して入力値を除外した回数のカウント上限値,,
#,RW0003.SPIKE_CONFIG_Y_REJECT_THRESHOLD,float,,(float)(rw0003_filter->spike_filter_config[1].reject_threshold),NONE,,,,,,,,RW0003_Yスパイク値判定に用いる閾値,,
#,RW0003.SPIKE_CONFIG_Y_LMT_ACCEPT_AS_STEP,float,,(float)(rw0003_filter->spike_filter_config[1].amplitude_limit_to_accept_as_step),NONE,,,,,,,,RW0003_Yステップ変化として値を受けれる判定のための許容値,,
#,RW0003.SPIKE_ERROR_Y,uint8_t,,(uint8_t)(rw0003_filter->filter_error[1]),NONE,,,,,,,,RW0003_Yスパイクフィルタエラー,,
