TRUE,37,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
#,RM3100.AOBC.QUATERNION_C2B.X,float,,(float)(rm3100_driver[RM3100_IDX_ON_AOBC]->info.frame_transform_c2b.vector_part[0]),NONE,,,,,,,,AOBC搭載RM3100座標変換Quaternion_c2bのベクトル部第0成分,,
#,RM3100.AOBC.QUATERNION_C2B.Y,float,,(float)(rm3100_driver[RM3100_IDX_ON_AOBC]->info.frame_transform_c2b.vector_part[1]),NONE,,,,,,,,AOBC搭載RM3100座標変換Quaternion_c2bのベクトル部第1成分,,
#,RM3100.AOBC.QUATERNION_C2B.Z,float,,(float)(rm3100_driver[RM3100_IDX_ON_AOBC]->info.frame_transform_c2b.vector_part[2]),NONE,,,,,,,,AOBC搭載RM3100座標変換Quaternion_c2bのベクトル部第2成分,,
#,RM3100.AOBC.QUATERNION_C2B.W,float,,(float)(rm3100_driver[RM3100_IDX_ON_AOBC]->info.frame_transform_c2b.scalar_part),NONE,,,,,,,,AOBC搭載RM3100座標変換Quaternion_c2bのスカラー部,,
#,RM3100.EXT.QUATERNION_C2B.X,float,,(float)(rm3100_driver[RM3100_IDX_EXTERNAL]->info.frame_transform_c2b.vector_part[0]),NONE,,,,,,,,外部基板搭載RM3100座標変換Quaternion_c2bのベクトル部第0成分,,
#,RM3100.EXT.QUATERNION_C2B.Y,float,,(float)(rm3100_driver[RM3100_IDX_EXTERNAL]->info.frame_transform_c2b.vector_part[1]),NONE,,,,,,,,外部基板搭載RM3100座標変換Quaternion_c2bのベクトル部第1成分,,
#,RM3100.EXT.QUATERNION_C2B.Z,float,,(float)(rm3100_driver[RM3100_IDX_EXTERNAL]->info.frame_transform_c2b.vector_part[2]),NONE,,,,,,,,外部基板搭載RM3100座標変換Quaternion_c2bのベクトル部第2成分,,
#,RM3100.EXT.QUATERNION_C2B.W,float,,(float)(rm3100_driver[RM3100_IDX_EXTERNAL]->info.frame_transform_c2b.scalar_part),NONE,,,,,,,,外部基板搭載RM3100座標変換Quaternion_c2bのスカラー部,,
#,MPU9250.QUATERNION_C2B.X,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.frame_transform_c2b.vector_part[0]),NONE,,,,,,,,MPU9250座標変換Quaternion_c2bのベクトル部第0成分,,
