TRUE,33,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,ROUGH.GYRO_ANG_VEL_BODY_X_rad/s,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.ang_vel_body_rad_s[0]),NONE,,,,,,,,AOBC搭載MPU9250での角速度測定値（コンポ座標X）,,
,ROUGH.GYRO_ANG_VEL_BODY_Y_rad/s,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.ang_vel_body_rad_s[1]),NONE,,,,,,,,AOBC搭載MPU9250での角速度測定値（コンポ座標Y）,,
,ROUGH.GYRO_ANG_VEL_BODY_Z_rad/s,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.ang_vel_body_rad_s[2]),NONE,,,,,,,,AOBC搭載MPU9250での角速度測定値（コンポ座標Z）,,
,ROUGH.MAG_BODY_X_nT,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.mag_body_nT[0]),NONE,,,,,,,,AOBC搭載MPU9250での磁場測定値（コンポ座標X）,,
,ROUGH.MAG_BODY_Y_nT,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.mag_body_nT[1]),NONE,,,,,,,,AOBC搭載MPU9250での磁場測定値（コンポ座標Y）,,
,ROUGH.MAG_BODY_Z_nT,float,,(float)(mpu9250_driver[MPU9250_IDX_ON_AOBC]->info.mag_body_nT[2]),NONE,,,,,,,,AOBC搭載MPU9250での磁場測定値（コンポ座標Z）,,
,FINE_MAG.AOBC_BODY_X_nT,float,,(float)(rm3100_driver[RM3100_IDX_ON_AOBC]->info.mag_body_nT[0]),NONE,,,,,,,,AOBC搭載RM3100での磁場測定値（コンポ座標X）,,
,FINE_MAG.AOBC_BODY_Y_nT,float,,(float)(rm3100_driver[RM3100_IDX_ON_AOBC]->info.mag_body_nT[1]),NONE,,,,,,,,AOBC搭載RM3100での磁場測定値（コンポ座標Y）,,
,FINE_MAG.AOBC_BODY_Z_nT,float,,(float)(rm3100_driver[RM3100_IDX_ON_AOBC]->info.mag_body_nT[2]),NONE,,,,,,,,AOBC搭載RM3100での磁場測定値（コンポ座標Z）,,
