TRUE,32,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,OBC.TM_MODE_TIME,uint32_t,,(uint32_t)(TMGR_get_master_clock().mode_cycle),NONE,,,,,,,,,,
,OBC.MM.OPSMODE,uint8_t,,(uint8_t)(mode_manager->current_id),STATUS,,,,,,,"0=START_UP,1=INITIAL,2=Bdot,3=RoughSunPointing,4=RoughThreeAxisMtq,5=RoughThreeAxisRw,6=FineThreeAxis,7=Reserved,8=MAX,*=N/A",,,
,OBC.MM.STS,_uint8_t,1,(uint8_t)( ((uint8_t)(mode_manager->stat) << 7 & 0x80) | ((uint8_t)(mode_manager->previous_id) & 0x7F) ),STATUS,,,,,,,"0=FINISHED,1=PROGRESS:G,*=N/A",,,
,OBC.MM.OPSMODE_PREV,,7,,STATUS,,,,,,,"0=START_UP,1=INITIAL,2=Bdot,3=RoughSunPointing,4=RoughThreeAxisMtq,5=RoughThreeAxisRw,6=FineThreeAxis,7=Reserved,8=MAX,*=N/A",,,
,OBC.TDSP_CURRENT_ID,uint16_t,,task_dispatcher->task_list_id,NONE,,,,,,,,,,
,OBC.GS_CMD.COUNTER,uint8_t,,(uint8_t)(PH_gs_cmd_list.executed_nodes_),NONE,,,,,,,,地上局コマンドカウンタ,,
,OBC.GS_CMD.LAST_EXEC_TIME,uint32_t,,(uint32_t)gs_command_dispatcher->prev.time.total_cycle,NONE,,,,,,,,最新地上局コマンド実行時刻,,
,OBC.GS_CMD.LAST_EXEC_ID,uint16_t,,(uint16_t)(gs_command_dispatcher->prev.code),NONE,,,,,,,,最新地上局コマンドID,,
,OBC.GS_CMD.LAST_EXEC_STS,uint8_t,,(uint8_t)(gs_command_dispatcher->prev.cmd_ret.exec_sts),STATUS,,,,,,,"0=SUC, 1=LEN, 2=PRM, 3=CNT, 4=NDF, 5=RUT, 6=FMT",最新地上局コマンド実行結果,,
,OBC.GS_CMD.ERR_COUNTER,uint8_t,,(uint8_t)(gs_command_dispatcher->error_counter),NONE,,,,,,,,アノマリ対応発生回数,,
,OBC.GS_CMD.LAST_ERR_TIME,uint32_t,,(uint32_t)gs_command_dispatcher->prev_err.time.total_cycle,NONE,,,,,,,,地上局異常コマンド実行時刻,,
