TRUE,42,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
#,TARGET10_TI,uint32_t,,(uint32_t)(quaternion_interpolator->target_list[10].attitude_changed_ti),NONE,,,,,,,,姿勢変更完了予定時刻,,
#,TARGET10_X,float,,(float)(quaternion_interpolator->target_list[10].quaternion_target_i2t.vector_part[0]),NONE,,,,,,,,目標Quaternion I2T X,,
#,TARGET10_Y,float,,(float)(quaternion_interpolator->target_list[10].quaternion_target_i2t.vector_part[1]),NONE,,,,,,,,目標Quaternion I2T Y,,
#,TARGET10_Z,float,,(float)(quaternion_interpolator->target_list[10].quaternion_target_i2t.vector_part[2]),NONE,,,,,,,,目標Quaternion I2T Z,,
#,TARGET10_W,float,,(float)(quaternion_interpolator->target_list[10].quaternion_target_i2t.scalar_part),NONE,,,,,,,,目標Quaternion I2T W,,
#,TARGET11_TI,uint32_t,,(uint32_t)(quaternion_interpolator->target_list[11].attitude_changed_ti),NONE,,,,,,,,姿勢変更完了予定時刻,,
#,TARGET11_X,float,,(float)(quaternion_interpolator->target_list[11].quaternion_target_i2t.vector_part[0]),NONE,,,,,,,,目標Quaternion I2T X,,
#,TARGET11_Y,float,,(float)(quaternion_interpolator->target_list[11].quaternion_target_i2t.vector_part[1]),NONE,,,,,,,,目標Quaternion I2T Y,,
#,TARGET11_Z,float,,(float)(quaternion_interpolator->target_list[11].quaternion_target_i2t.vector_part[2]),NONE,,,,,,,,目標Quaternion I2T Z,,
#,TARGET11_W,float,,(float)(quaternion_interpolator->target_list[11].quaternion_target_i2t.scalar_part),NONE,,,,,,,,目標Quaternion I2T W,,
#,TARGET12_TI,uint32_t,,(uint32_t)(quaternion_interpolator->target_list[12].attitude_changed_ti),NONE,,,,,,,,姿勢変更完了予定時刻,,
#,TARGET12_X,float,,(float)(quaternion_interpolator->target_list[12].quaternion_target_i2t.vector_part[0]),NONE,,,,,,,,目標Quaternion I2T X,,
#,TARGET12_Y,float,,(float)(quaternion_interpolator->target_list[12].quaternion_target_i2t.vector_part[1]),NONE,,,,,,,,目標Quaternion I2T Y,,
#,TARGET12_Z,float,,(float)(quaternion_interpolator->target_list[12].quaternion_target_i2t.vector_part[2]),NONE,,,,,,,,目標Quaternion I2T Z,,
