TRUE,7,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,CURRENT_MODE,uint8_t,,(uint8_t)(mode_manager->current_id),NONE,,,,,,,,,,
,PREVIOSU_MODE,uint8_t,,(uint8_t)(mode_manager->previous_id),NONE,,,,,,,,,,
,TRANSITION_STATUS,uint8_t,,(uint8_t)(mode_manager->stat),NONE,,,,,,,,,,
,MODE_LIST_0,uint8_t,,(uint8_t)(mode_manager->mode_list[0]),NONE,,,,,,,,,,
,MODE_LIST_1,uint8_t,,(uint8_t)(mode_manager->mode_list[1]),NONE,,,,,,,,,,
,MODE_LIST_2,uint8_t,,(uint8_t)(mode_manager->mode_list[2]),NONE,,,,,,,,,,
,MODE_LIST_3,uint8_t,,(uint8_t)(mode_manager->mode_list[3]),NONE,,,,,,,,,,
,MODE_LIST_4,uint8_t,,(uint8_t)(mode_manager->mode_list[4]),NONE,,,,,,,,,,
,MODE_LIST_5,uint8_t,,(uint8_t)(mode_manager->mode_list[5]),NONE,,,,,,,,,,
,MODE_LIST_6,uint8_t,,(uint8_t)(mode_manager->mode_list[6]),NONE,,,,,,,,,,
,MODE_LIST_7,uint8_t,,(uint8_t)(mode_manager->mode_list[7]),NONE,,,,,,,,,,
,MODE_TRANSITION_TABLE_0_0,uint8_t,,(uint8_t)(mode_manager->transition_table[0][0]),NONE,,,,,,,,,,
,MODE_TRANSITION_TABLE_0_1,uint8_t,,(uint8_t)(mode_manager->transition_table[0][1]),NONE,,,,,,,,,,
,MODE_TRANSITION_TABLE_0_2,uint8_t,,(uint8_t)(mode_manager->transition_table[0][2]),NONE,,,,,,,,,,
,MODE_TRANSITION_TABLE_0_3,uint8_t,,(uint8_t)(mode_manager->transition_table[0][3]),NONE,,,,,,,,,,
,MODE_TRANSITION_TABLE_0_4,uint8_t,,(uint8_t)(mode_manager->transition_table[0][4]),NONE,,,,,,,,,,
,MODE_TRANSITION_TABLE_0_5,uint8_t,,(uint8_t)(mode_manager->transition_table[0][5]),NONE,,,,,,,,,,
,MODE_TRANSITION_TABLE_0_6,uint8_t,,(uint8_t)(mode_manager->transition_table[0][6]),NONE,,,,,,,,,,
,MODE_TRANSITION_TABLE_0_7,uint8_t,,(uint8_t)(mode_manager->transition_table[0][7]),NONE,,,,,,,,,,
