TRUE,43,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
#,ERROR_STATUS,uint8_t,,(uint8_t)(non_volatile_memory_manager->error_status),STATUS,,,,,,,"0=OK, 1=NG_ADDRESS, 2=NG_LENGTH, 3=NG_READ, 4=NG_WRITE, 5=NG_OTHERS",不揮発メモリエラーステータス,,
#,WRITE.START_ADDRESS,uint32_t,,(uint32_t)(non_volatile_memory_manager->write_info.start_address),NONE,,,,,,,,不揮発メモリ書き込み先頭アドレス,,
#,WRITE.DATA_SIZE,uint8_t,,(uint8_t)(non_volatile_memory_manager->write_info.data_size_byte),NONE,,,,,,,,不揮発メモリ書き込みサイズ,,
#,WRITE.DATA_0,uint8_t,,(uint8_t)(non_volatile_memory_manager->write_info.data[0]),NONE,,,,,,,,不揮発メモリ書き込みデータ,,
#,WRITE.DATA_1,uint8_t,,(uint8_t)(non_volatile_memory_manager->write_info.data[1]),NONE,,,,,,,,不揮発メモリ書き込みデータ,,
#,WRITE.DATA_2,uint8_t,,(uint8_t)(non_volatile_memory_manager->write_info.data[2]),NONE,,,,,,,,不揮発メモリ書き込みデータ,,
#,WRITE.DATA_3,uint8_t,,(uint8_t)(non_volatile_memory_manager->write_info.data[3]),NONE,,,,,,,,不揮発メモリ書き込みデータ,,
#,WRITE.DATA_4,uint8_t,,(uint8_t)(non_volatile_memory_manager->write_info.data[4]),NONE,,,,,,,,不揮発メモリ書き込みデータ,,
#,WRITE.DATA_5,uint8_t,,(uint8_t)(non_volatile_memory_manager->write_info.data[5]),NONE,,,,,,,,不揮発メモリ書き込みデータ,,
#,WRITE.DATA_6,uint8_t,,(uint8_t)(non_volatile_memory_manager->write_info.data[6]),NONE,,,,,,,,不揮発メモリ書き込みデータ,,
#,WRITE.DATA_7,uint8_t,,(uint8_t)(non_volatile_memory_manager->write_info.data[7]),NONE,,,,,,,,不揮発メモリ書き込みデータ,,
#,READ.START_ADDRESS,uint32_t,,(uint32_t)(non_volatile_memory_manager->read_info.start_address),NONE,,,,,,,,不揮発メモリ読み出し先頭アドレス,,
#,READ.DATA_SIZE,uint8_t,,(uint8_t)(non_volatile_memory_manager->read_info.data_size_byte),NONE,,,,,,,,不揮発メモリ読み出しサイズ,,
