TRUE,0,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,TM_MODE_TIME,uint32_t,,(uint32_t)(TMGR_get_master_clock().mode_cycle),NONE,,,,,,,,モード遷移後経過時刻,,
,MM_STS,uint8_t,,(uint8_t)(mode_manager->stat),NONE,,,,,,,,モード遷移実行状態,,
,MM_OPSMODE,uint8_t,,(uint8_t)(mode_manager->current_id),NONE,,,,,,,,現状モード番号,,
,MM_OPSMODE_PREV,uint8_t,,(uint8_t)(mode_manager->previous_id),NONE,,,,,,,,直前モード番号,,
,TDSP_CURRENT_ID,uint8_t,,(uint8_t)(task_dispatcher->task_list_id),NONE,,,,,,,,現状 TaskList ID,,
,TDSP_CMD_LAST_ERR_TIME_MASTER,uint32_t,,(uint32_t)(task_dispatcher->tskd.prev_err.time.total_cycle),NONE,,,,,,,,最新内部コマンド実行時刻,,
,TDSP_CMD_LAST_ERR_TIME_STEP,uint8_t,,(uint8_t)(task_dispatcher->tskd.prev_err.time.step),NONE,,,,,,,,,,
,TDSP_CMD_LAST_ERR_ID,uint16_t,,(uint16_t)(task_dispatcher->tskd.prev_err.code),NONE,,,,,,,,最新内部コマンドID,,
,TDSP_CMD_LAST_ERR_STS,uint8_t,,(uint8_t)(task_dispatcher->tskd.prev_err.cmd_ret.exec_sts),STATUS,,,,,,,"0=SUC, 1=LEN, 2=PRM, 3=CNT, 4=NDF, 5=RUT, 6=FMT",最新内部コマンド実行結果,,
,TDSP_CMD_LAST_ERR_CODE,uint32_t,,(uint32_t)(task_dispatcher->tskd.prev_err.cmd_ret.err_code),NONE,,,,,,,,最新内部コマンド実行結果,,
,GS_CMD_COUNTER,uint32_t,,PH_gs_cmd_list.executed_nodes_,NONE,,,,,,,,地上局コマンドカウンタ,,
,GS_CMD_LAST_EXEC_TIME,uint32_t,,(uint32_t)(gs_command_dispatcher->prev.time.total_cycle),NONE,,,,,,,,最新地上局コマンド実行時刻,,
,GS_CMD_LAST_EXEC_ID,uint16_t,,(uint16_t)(gs_command_dispatcher->prev.code),NONE,,,,,,,,最新地上局コマンドID,,
