TRUE,44,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,METHOD,uint8_t,,(uint8_t)(orbit_calculator->method),STATUS,,,,,,,"0=KEPLER, 1=SGP4, 2=KEPLER_GPSR, 3=EKF",軌道伝搬手法,,
,KEPLER.SEMI_MAJOR_AXIS_km,float,,(float)(kepler_orbit_propagator->orbital_elements.semi_major_axis_km),NONE,,,,,,,,Kepler伝搬で使われている軌道長半径,,
,KEPLER.ECCENTRICITY,float,,(float)(kepler_orbit_propagator->orbital_elements.eccentricity),NONE,,,,,,,,Kepler伝搬で使われている離心率,,
,KEPLER.INCLINATION_rad,float,,(float)(kepler_orbit_propagator->orbital_elements.inclination_rad),NONE,,,,,,,,Kepler伝搬で使われている軌道傾斜角,,
,KEPLER.RAAN_rad,float,,(float)(kepler_orbit_propagator->orbital_elements.raan_rad),NONE,,,,,,,,Kepler伝搬で使われている昇交点赤経,,
,KEPLER.ARG_PERIGIEE_rad,float,,(float)(kepler_orbit_propagator->orbital_elements.arg_perigee_rad),NONE,,,,,,,,Kepler伝搬で使われている近地点引数,,
,KEPLER.EPOCH_jday,double,,(double)(kepler_orbit_propagator->orbital_elements.epoch_jday),NONE,,,,,,,,Kepler伝搬で使われているエポック,,
,KEPLER.CMD.SEMI_MAJOR_AXIS_km,float,,(float)(kepler_orbit_propagator->orbital_elements_cmd_tmp.semi_major_axis_km),NONE,,,,,,,,CMD設定中の軌道長半径,,
,KEPLER.CMD.ECCENTRICITY,float,,(float)(kepler_orbit_propagator->orbital_elements_cmd_tmp.eccentricity),NONE,,,,,,,,CMD設定中の離心率,,
,KEPLER.CMD.INCLINATION_rad,float,,(float)(kepler_orbit_propagator->orbital_elements_cmd_tmp.inclination_rad),NONE,,,,,,,,CMD設定中の軌道傾斜角,,
,KEPLER.CMD.RAAN_rad,float,,(float)(kepler_orbit_propagator->orbital_elements_cmd_tmp.raan_rad),NONE,,,,,,,,CMD設定中の昇交点赤経,,
,KEPLER.CMD.ARG_PERIGIEE_rad,float,,(float)(kepler_orbit_propagator->orbital_elements_cmd_tmp.arg_perigee_rad),NONE,,,,,,,,CMD設定中の近地点引数,,
,KEPLER.CMD.EPOCH_jday,double,,(double)(kepler_orbit_propagator->orbital_elements_cmd_tmp.epoch_jday),NONE,,,,,,,,CMD設定中のエポック,,
