TRUE,60,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,METHOD,uint8_t,,(uint8_t)(orbit_calculator->method),STATUS,,,,,,,"0=KEPLER, 1=SGP4, 2=KEPLER_GPSR, 3=EKF",軌道伝搬手法,,
,KEPLER_GPSR.GPSR_UPDATE,uint8_t,,(uint8_t)(orbit_calculator->gpsr_update),STATUS,,,,,,,"0=DISABLE, 1=ENABLE",Kepler伝播にGPSRテレメを用いるフラッグ,,
,KEPLER_GPSR.SEMI_MAJOR_AXIS_km,float,,(float)(gpsr_orbit_propagator->orbital_elements.semi_major_axis_km),NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている軌道長半径,,
,KEPLER_GPSR.ECCENTRICITY,float,,(float)(gpsr_orbit_propagator->orbital_elements.eccentricity),NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている離心率,,
,KEPLER_GPSR.INCLINATION_rad,float,,(float)(gpsr_orbit_propagator->orbital_elements.inclination_rad),NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている軌道傾斜角,,
,KEPLER_GPSR.RAAN_rad,float,,(float)(gpsr_orbit_propagator->orbital_elements.raan_rad),NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている昇交点赤経,,
,KEPLER_GPSR.ARG_PERIGIEE_rad,float,,(float)(gpsr_orbit_propagator->orbital_elements.arg_perigee_rad),NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている近地点引数,,
,KEPLER_GPSR.EPOCH_jday,double,,(double)(gpsr_orbit_propagator->orbital_elements.epoch_jday),NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われているエポック,,
,KEPLER_GPSR.THRESHOLD.SEMI_MAJOR_AXIS_km,float,,(float)(gpsr_orbit_propagator->orbital_elements_threshold.semi_major_axis_km),NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている軌道長半径の更新幅閾値,,
,KEPLER_GPSR.THRESHOLD.ECCENTRICITY,float,,(float)(gpsr_orbit_propagator->orbital_elements_threshold.eccentricity),NONE,,,,,,,,GPSRテレメを用いたKepler伝搬で使われている離心率の更新幅閾値,,
