TRUE,36,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,POW_SWITCH_STATE.INA260,uint8_t,,(uint8_t)(power_switch_control->switch_state_5v[APP_PSC_5V_IDX_INA260]),STATUS,,,,,,,"0=OFF, 1=ON",INA260の電源状態,,
,POW_SWITCH_STATE.MPU9250,uint8_t,,(uint8_t)(power_switch_control->switch_state_5v[APP_PSC_5V_IDX_MPU9250]),STATUS,,,,,,,"0=OFF, 1=ON",MPU9250の電源状態,,
,POW_SWITCH_STATE.RM3100,uint8_t,,(uint8_t)(power_switch_control->switch_state_5v[APP_PSC_5V_IDX_RM3100]),STATUS,,,,,,,"0=OFF, 1=ON",RM3100の電源状態の電源状態,,
,POW_SWITCH_STATE.NANOSSOC_D60,uint8_t,,(uint8_t)(power_switch_control->switch_state_5v[APP_PSC_5V_IDX_NANOSSOC_D60]),STATUS,,,,,,,"0=OFF, 1=ON",nanoSSOC-D60の電源状態,,
,POW_SWITCH_STATE.MTQ,uint8_t,,(uint8_t)(power_switch_control->switch_state_5v[APP_PSC_5V_IDX_MTQ_SEIREN]),STATUS,,,,,,,"0=OFF, 1=ON",MTQの電源状態,,
,POW_SWITCH_STATE.STIM210,uint8_t,,(uint8_t)(power_switch_control->switch_state_unreg[APP_PSC_UNREG_IDX_STIM210]),STATUS,,,,,,,"0=OFF, 1=ON",STIM210の電源状態,,
,POW_SWITCH_STATE.SAGITTA,uint8_t,,(uint8_t)(power_switch_control->switch_state_unreg[APP_PSC_UNREG_IDX_SAGITTA]),STATUS,,,,,,,"0=OFF, 1=ON",Sagittaの電源状態,,
,POW_SWITCH_STATE.OEM7600,uint8_t,,(uint8_t)(power_switch_control->switch_state_unreg[APP_PSC_UNREG_IDX_OEM7600]),STATUS,,,,,,,"0=OFF, 1=ON",OEM7600の電源状態,,
,POW_SWITCH_STATE.RWX,uint8_t,,(uint8_t)(power_switch_control->switch_state_unreg[APP_PSC_UNREG_IDX_RWX]),STATUS,,,,,,,"0=OFF, 1=ON",RW Xの電源状態,,
,POW_SWITCH_STATE.RWY,uint8_t,,(uint8_t)(power_switch_control->switch_state_unreg[APP_PSC_UNREG_IDX_RWY]),STATUS,,,,,,,"0=OFF, 1=ON",RW Yの電源状態,,
