TRUE,63,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,RW.SPEED_rad/s.X,float,,(float)(rw0003_driver[RW0003_IDX_ON_X]->info.speed_rad_s),NONE,,,,,,,,,,
,RW.SPEED_rad/s.Y,float,,(float)(rw0003_driver[RW0003_IDX_ON_Y]->info.speed_rad_s),NONE,,,,,,,,,,
,RW.SPEED_rad/s.Z,float,,(float)(rw0003_driver[RW0003_IDX_ON_Z]->info.speed_rad_s),NONE,,,,,,,,,,
,RW.TEMPERATURE_DEGC.X,float,,(float)(rw0003_driver[RW0003_IDX_ON_X]->info.temperature_degC),NONE,,,,,,,,,,
,RW.TEMPERATURE_DEGC.Y,float,,(float)(rw0003_driver[RW0003_IDX_ON_Y]->info.temperature_degC),NONE,,,,,,,,,,
,RW.TEMPERATURE_DEGC.Z,float,,(float)(rw0003_driver[RW0003_IDX_ON_Z]->info.temperature_degC),NONE,,,,,,,,,,
,RW.VDD_V.X,float,,(float)(rw0003_driver[RW0003_IDX_ON_X]->info.vdd_V),NONE,,,,,,,,,,
,RW.VDD_V.Y,float,,(float)(rw0003_driver[RW0003_IDX_ON_Y]->info.vdd_V),NONE,,,,,,,,,,
,RW.VDD_V.Z,float,,(float)(rw0003_driver[RW0003_IDX_ON_Z]->info.vdd_V),NONE,,,,,,,,,,
,RW.SEU_COUNT.X,float,,(float)(rw0003_driver[RW0003_IDX_ON_X]->info.seu_count),NONE,,,,,,,,,,
,RW.SEU_COUNT.Y,float,,(float)(rw0003_driver[RW0003_IDX_ON_Y]->info.seu_count),NONE,,,,,,,,,,
,RW.SEU_COUNT.Z,float,,(float)(rw0003_driver[RW0003_IDX_ON_Z]->info.seu_count),NONE,,,,,,,,,,
,RW.FAULT_STATE.X,float,,(float)(rw0003_driver[RW0003_IDX_ON_X]->info.fault_state),NONE,,,,,,,,,,
,RW.FAULT_STATE.Y,float,,(float)(rw0003_driver[RW0003_IDX_ON_Y]->info.fault_state),NONE,,,,,,,,,,
,RW.FAULT_STATE.Z,float,,(float)(rw0003_driver[RW0003_IDX_ON_Z]->info.fault_state),NONE,,,,,,,,,,
,RW.DIAGNOSTIC.RESET_REASON.X,int32_t,,(int32_t)(rw0003_driver[RW0003_IDX_ON_X]->info.diagnostic_reset_reason),NONE,,,,,,,,,,
,RW.DIAGNOSTIC.RESET_REASON.Y,int32_t,,(int32_t)(rw0003_driver[RW0003_IDX_ON_Y]->info.diagnostic_reset_reason),NONE,,,,,,,,,,
,RW.DIAGNOSTIC.RESET_REASON.Z,int32_t,,(int32_t)(rw0003_driver[RW0003_IDX_ON_Z]->info.diagnostic_reset_reason),NONE,,,,,,,,,,
