TRUE,67,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,HISTOGRAM.A0,uint32_t,,(uint32_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.histogram_a_pix[0]),NONE,,,,,,,,Number of pixel values in section A with value: 0 - 0,,
,HISTOGRAM.A1,uint32_t,,(uint32_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.histogram_a_pix[1]),NONE,,,,,,,,Number of pixel values in section A with value: 1 - 1,,
,HISTOGRAM.A2,uint32_t,,(uint32_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.histogram_a_pix[2]),NONE,,,,,,,,Number of pixel values in section A with value: 2 - 3,,
,HISTOGRAM.A3,uint32_t,,(uint32_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.histogram_a_pix[3]),NONE,,,,,,,,Number of pixel values in section A with value: 4 - 7,,
,HISTOGRAM.A4,uint32_t,,(uint32_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.histogram_a_pix[4]),NONE,,,,,,,,Number of pixel values in section A with value: 8 - 15,,
,HISTOGRAM.A5,uint32_t,,(uint32_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.histogram_a_pix[5]),NONE,,,,,,,,Number of pixel values in section A with value: 16 - 31,,
,HISTOGRAM.A6,uint32_t,,(uint32_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.histogram_a_pix[6]),NONE,,,,,,,,Number of pixel values in section A with value: 32 - 63,,
,HISTOGRAM.A7,uint32_t,,(uint32_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.histogram_a_pix[7]),NONE,,,,,,,,Number of pixel values in section A with value: 64 - 127,,
,HISTOGRAM.A8,uint32_t,,(uint32_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.histogram_a_pix[8]),NONE,,,,,,,,Number of pixel values in section A with value: 128 - 255,,
,HISTOGRAM.B0,uint32_t,,(uint32_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.telemetry.histogram_b_pix[0]),NONE,,,,,,,,Number of pixel values in section B with value: 0 - 0,,
