TRUE,52,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL1,uint8_t,,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.set_parameter.log_level[0]),NONE,,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL2,uint8_t,,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.set_parameter.log_level[1]),NONE,,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL3,uint8_t,,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.set_parameter.log_level[2]),NONE,,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL4,uint8_t,,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.set_parameter.log_level[3]),NONE,,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL5,uint8_t,,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.set_parameter.log_level[4]),NONE,,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL6,uint8_t,,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.set_parameter.log_level[5]),NONE,,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL7,uint8_t,,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.set_parameter.log_level[6]),NONE,,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL8,uint8_t,,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.set_parameter.log_level[7]),NONE,,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL9,uint8_t,,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.set_parameter.log_level[8]),NONE,,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL10,uint8_t,,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.set_parameter.log_level[9]),NONE,,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL11,uint8_t,,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.set_parameter.log_level[10]),NONE,,,,,,,,,,
,LOG_LEVEL.LOG_LEVEL12,uint8_t,,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.set_parameter.log_level[11]),NONE,,,,,,,,,,
