TRUE,57,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,COVARIANCE.0_0,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[0][0]),NONE,,,,,,,,,,
,COVARIANCE.0_1,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[0][1]),NONE,,,,,,,,,,
,COVARIANCE.0_2,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[0][2]),NONE,,,,,,,,,,
,COVARIANCE.0_3,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[0][3]),NONE,,,,,,,,,,
,COVARIANCE.0_4,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[0][4]),NONE,,,,,,,,,,
,COVARIANCE.0_5,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[0][5]),NONE,,,,,,,,,,
,COVARIANCE.1_0,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[1][0]),NONE,,,,,,,,,,
,COVARIANCE.1_1,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[1][1]),NONE,,,,,,,,,,
,COVARIANCE.1_2,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[1][2]),NONE,,,,,,,,,,
,COVARIANCE.1_3,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[1][3]),NONE,,,,,,,,,,
,COVARIANCE.1_4,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[1][4]),NONE,,,,,,,,,,
,COVARIANCE.1_5,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[1][5]),NONE,,,,,,,,,,
,COVARIANCE.2_0,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[2][0]),NONE,,,,,,,,,,
,COVARIANCE.2_1,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[2][1]),NONE,,,,,,,,,,
,COVARIANCE.2_2,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[2][2]),NONE,,,,,,,,,,
,COVARIANCE.2_3,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[2][3]),NONE,,,,,,,,,,
,COVARIANCE.2_4,float,,(float)(stt_gyro_ekf->estimated_result.covariance_matrix.data[2][4]),NONE,,,,,,,,,,
