TRUE,48,OBC,,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,PID_OMEGA.P_GAIN.BODY_X,float,,(float)(three_axis_control_rw->pid_omega[0].gains.p_gain),NONE,,,,,,,,角速度制御_機体固定X軸_Pゲイン,,
,PID_OMEGA.P_GAIN.BODY_Y,float,,(float)(three_axis_control_rw->pid_omega[1].gains.p_gain),NONE,,,,,,,,角速度制御_機体固定Y軸_Pゲイン,,
,PID_OMEGA.P_GAIN.BODY_Z,float,,(float)(three_axis_control_rw->pid_omega[2].gains.p_gain),NONE,,,,,,,,角速度制御_機体固定Z軸_Pゲイン,,
,PID_OMEGA.I_GAIN.BODY_X,float,,(float)(three_axis_control_rw->pid_omega[0].gains.i_gain),NONE,,,,,,,,角速度制御_機体固定X軸_Iゲイン,,
,PID_OMEGA.I_GAIN.BODY_Y,float,,(float)(three_axis_control_rw->pid_omega[1].gains.i_gain),NONE,,,,,,,,角速度制御_機体固定Y軸_Iゲイン,,
,PID_OMEGA.I_GAIN.BODY_Z,float,,(float)(three_axis_control_rw->pid_omega[2].gains.i_gain),NONE,,,,,,,,角速度制御_機体固定Z軸_Iゲイン,,
,PID_OMEGA.D_GAIN.BODY_X,float,,(float)(three_axis_control_rw->pid_omega[0].gains.d_gain),NONE,,,,,,,,角速度制御_機体固定X軸_Dゲイン,,
,PID_OMEGA.D_GAIN.BODY_Y,float,,(float)(three_axis_control_rw->pid_omega[1].gains.d_gain),NONE,,,,,,,,角速度制御_機体固定Y軸_Dゲイン,,
,PID_OMEGA.D_GAIN.BODY_Z,float,,(float)(three_axis_control_rw->pid_omega[2].gains.d_gain),NONE,,,,,,,,角速度制御_機体固定Z軸_Dゲイン,,
,PID_ATT.P_GAIN.BODY_X,float,,(float)(three_axis_control_rw->pid_att[0].gains.p_gain),NONE,,,,,,,,姿勢制御_機体固定X軸_Pゲイン,,
,PID_ATT.P_GAIN.BODY_Y,float,,(float)(three_axis_control_rw->pid_att[1].gains.p_gain),NONE,,,,,,,,姿勢制御_機体固定Y軸_Pゲイン,,
,PID_ATT.P_GAIN.BODY_Z,float,,(float)(three_axis_control_rw->pid_att[2].gains.p_gain),NONE,,,,,,,,姿勢制御_機体固定Z軸_Pゲイン,,
