TRUE,1,OBC,int offset = TL_TLM_PAGE_SIZE*(timeline_command_dispatcher->tlm_info_.page_no);,,,,,,,,,,,,
subsystem,name,type,bit,var,conv,a0,a1,a2,a3,a4,a5,status,description,note,priority
,PH.VER,_uint16_t,3,,NONE,,,,,,,,,,
,PH.TYPE,,1,,NONE,,,,,,,,,,
,PH.SH_FLAG,,1,,NONE,,,,,,,,,,
,PH.APID,,11,,NONE,,,,,,,,,,
,PH.SEQ_FLAG,_uint16_t,2,,NONE,,,,,,,,,,
,PH.SEQ_COUNT,,14,,NONE,,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,,NONE,,,,,,,,,,
,SH.VER,uint8_t,,,NONE,,,,,,,,,,
,SH.TI,uint32_t,,,NONE,,,,,,,,,,
,SH.TLM_ID,uint8_t,,,HEX,,,,,,,,,,
,SH.GLOBAL_TIME,double,,,NONE,,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,,NONE,,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,,HEX,,,,,,,,,,
,SH.DEST_INFO,uint8_t,,,NONE,,,,,,,,,,
,LINE_NO,uint8_t,,TLCD_update_tl_list_for_tlm(timeline_command_dispatcher->tlm_info_.id),NONE,,,,,,,,テレメトリを生成したライン番号,,
,PAGE_NO,uint8_t,,timeline_command_dispatcher->tlm_info_.page_no,NONE,,,,,,,,,,
,UPDATED_AT,uint32_t,,timeline_command_dispatcher->tlm_info_.updated_at,NONE,,,,,,,,,,
,CMD0_ID,uint16_t,,(uint16_t)CCP_get_id(timeline_command_dispatcher->tlm_info_.tl_list[offset+0]),NONE,,,,,,,,,,
,CMD0_TI,uint32_t,,CCP_get_ti(timeline_command_dispatcher->tlm_info_.tl_list[offset+0]),NONE,,,,,,,,,,
,CMD0_PARAM0,uint8_t,,CCP_get_param_head(timeline_command_dispatcher->tlm_info_.tl_list[offset+0])[0],NONE,,,,,,,,,,
,CMD0_PARAM1,uint8_t,,CCP_get_param_head(timeline_command_dispatcher->tlm_info_.tl_list[offset+0])[1],NONE,,,,,,,,,,
,CMD0_PARAM2,uint8_t,,CCP_get_param_head(timeline_command_dispatcher->tlm_info_.tl_list[offset+0])[2],NONE,,,,,,,,,,
,CMD0_PARAM3,uint8_t,,CCP_get_param_head(timeline_command_dispatcher->tlm_info_.tl_list[offset+0])[3],NONE,,,,,,,,,,
,CMD0_PARAM4,uint8_t,,CCP_get_param_head(timeline_command_dispatcher->tlm_info_.tl_list[offset+0])[4],NONE,,,,,,,,,,
,CMD0_PARAM5,uint8_t,,CCP_get_param_head(timeline_command_dispatcher->tlm_info_.tl_list[offset+0])[5],NONE,,,,,,,,,,
,CMD1_ID,uint16_t,,(uint16_t)CCP_get_id(timeline_command_dispatcher->tlm_info_.tl_list[offset+1]),NONE,,,,,,,,,,
,CMD1_TI,uint32_t,,CCP_get_ti(timeline_command_dispatcher->tlm_info_.tl_list[offset+1]),NONE,,,,,,,,,,
,CMD1_PARAM0,uint8_t,,CCP_get_param_head(timeline_command_dispatcher->tlm_info_.tl_list[offset+1])[0],NONE,,,,,,,,,,
,CMD1_PARAM1,uint8_t,,CCP_get_param_head(timeline_command_dispatcher->tlm_info_.tl_list[offset+1])[1],NONE,,,,,,,,,,
